year,pop_5_17,datatype,log_pop,teacher_fte,teacher_fte_low,teacher_fte_high,teacher_fte_obs_low,teacher_fte_obs_high,schools,schools_low,schools_high,schools_obs_low,schools_obs_high
2023,44981,Estimate,10.713995457369334,1613.3951344099287,1558.8494021497277,1669.8494775363868,1049.5357470530541,2480.1859937087474,54.555819801133666,52.649788328665565,56.53085356381726,37.00546078637203,80.4296828339957
2024,43997,Estimate,10.69187672875773,1589.525621303817,1533.2474406389745,1647.869504825874,1033.8681733564026,2443.8238509449698,54.10282775418085,52.08642686673964,56.197288757922145,36.6897847172206,79.78013481296608
2025,42745,Forecast,10.663007508460334,1558.0988160791333,1500.148466313764,1618.2877729646234,1013.2658445218098,2395.8884371681224,53.49928886139118,51.3587849273869,55.729003572051596,36.27000839850568,78.91296514815517
2026,41504,Forecast,10.63354508711617,1526.6138436226674,1466.6441789918076,1589.0356099476207,992.5950713014765,2347.936127150612,52.88909508258321,50.61156003685941,55.26911987335186,35.84386874969384,78.04002403279696
2027,40806,Forecast,10.616584408403694,1509.8593400642417,1447.3607058644127,1575.0567343319774,981.4949282369547,2322.656145431312,52.56549723216187,50.16109396520518,55.08515227321587,35.61290907998685,77.58791883747558
2028,39999,Forecast,10.596609732783568,1489.916112285132,1424.922049595709,1557.8747077965957,968.3033800130924,2292.5149983642805,52.17673966218827,49.64001201615411,54.84310037817534,35.33628768112597,77.04295896452878
2029,39298,Forecast,10.578928905977142,1472.7684922398248,1405.2256036080432,1543.557864420591,956.9209043278137,2266.694166596776,51.84156917292517,49.17554431582618,54.65213108879103,35.095638432560314,76.5778431264492
2030,38685,Forecast,10.563207206983554,1457.9594336887174,1387.857185351028,1531.6026264937987,947.052567345076,2244.485452630009,51.5516245804098,48.75993627758756,54.50314745593834,34.88539440619605,76.18001866154897
2031,38126,Forecast,10.548651743073922,1444.5625713034708,1371.9171785883805,1521.0546634878103,938.0958698341506,2224.46456648383,51.28881574163889,48.37426150272407,54.378972173697235,34.693200426870916,75.82300242736767
2032,37596,Forecast,10.534652940740193,1431.8866412707412,1356.7274405579453,1511.2094678400786,929.600638694923,2205.570078273659,51.039467340346654,48.0039834682333,54.26689699845833,34.50967608760139,75.48686402542745
2033,37240,Forecast,10.525138731391003,1424.1049853377683,1346.4308480195762,1506.2600595098654,924.2934899825393,2194.1894335988422,50.88860772157338,47.74130185223291,54.24339712929419,34.393781276669436,75.29414620069218
2034,37077,Forecast,10.520752110257845,1421.8243757561083,1341.609532789766,1506.8352647215686,922.5715826113384,2191.2495394364446,50.849316814456024,47.5999280813931,54.32052367969137,34.35473971525804,75.2633564372065
2035,37139,Forecast,10.52242290939612,1426.0128035233402,1343.1684212424973,1513.9668887773557,925.0648556048847,2198.2377813745998,50.941541976027516,47.60001062321722,54.517649574423096,34.406418243052535,75.42315740521383
2036,37262,Forecast,10.525729319580298,1431.969539453827,1346.4222295622758,1522.952248486152,928.7011616057059,2207.9618791240323,51.06956069202266,47.63728048698956,54.74913770504798,34.482457932613954,75.63556038763153
2037,37465,Forecast,10.531162442798411,1440.2471435001148,1351.8850059170152,1534.3848221418705,933.8386388428023,2221.2743701960053,51.244378118499846,47.72273125838371,55.0259010645051,34.59042354588926,75.91656937267712
2038,37670,Forecast,10.536619300686088,1448.598389548472,1357.3483807957734,1545.9828323309116,939.0102710135473,2234.733057751774,51.420314676331444,47.807457863909754,55.306198646654245,34.698670074353124,76.200291127793
