school_year,level,school,school_raw,matrix_row_sum,attending_neighborhood,oe_from_within_district,oe_from_outside_district,placements_into_school,unmatched_addresses,within_bvsd_total,enrollment_total,pct_from_neighborhood
2018-2019,elementary,Whittier,Whittier,394,332.0,62.0,3.0,3.0,0.0,397.0,400.0,0.83
2018-2019,elementary,Aspen Creek K-8,Aspen Creek K-8,366,299.0,67.0,62.0,9.0,0.0,375.0,437.0,0.68
2018-2019,elementary,Birch,Birch,283,249.0,34.0,54.0,9.0,0.0,292.0,346.0,0.72
2018-2019,elementary,Emerald,Emerald,319,284.0,35.0,61.0,7.0,0.0,326.0,387.0,0.73
2018-2019,elementary,Kohl,Kohl,334,259.0,75.0,61.0,7.0,0.0,341.0,402.0,0.64
2018-2019,elementary,Lafayette,Lafayette Elem.,408,345.0,63.0,9.0,10.0,0.0,418.0,427.0,0.81
2018-2019,elementary,Ryan,Ryan,443,402.0,41.0,12.0,8.0,0.0,451.0,463.0,0.87
2018-2019,elementary,Sanchez,Sanchez,319,285.0,34.0,5.0,7.0,0.0,326.0,331.0,0.86
2018-2019,elementary,Meadowlark,Meadowlark,395,374.0,21.0,33.0,9.0,0.0,404.0,437.0,0.86
2018-2019,elementary,Coal Creek,Coal Creek,402,367.0,35.0,8.0,0.0,0.0,402.0,410.0,0.9
2018-2019,elementary,Fireside,Fireside,404,328.0,76.0,9.0,7.0,0.0,411.0,420.0,0.78
2018-2019,elementary,Louisville,Louisville Elem.,550,521.0,29.0,4.0,9.0,0.0,559.0,563.0,0.93
2018-2019,elementary,Monarch K-8,Monarch K-8,304,224.0,80.0,27.0,17.0,0.0,321.0,348.0,0.64
2018-2019,elementary,Eldorado K-8,Eldorado K-8,370,332.0,38.0,22.0,4.0,0.0,374.0,396.0,0.84
2018-2019,elementary,Superior,Superior,426,391.0,35.0,7.0,6.0,0.0,432.0,439.0,0.89
2018-2019,elementary,Gold Hill,Gold Hill,19,4.0,15.0,0.0,0.0,0.0,19.0,19.0,0.21
2018-2019,elementary,Jamestown,Jamestown,14,7.0,7.0,1.0,0.0,0.0,14.0,15.0,0.47
2018-2019,elementary,Nederland,Nederland Elem.,244,243.0,1.0,4.0,0.0,0.0,244.0,248.0,0.98
2018-2019,elementary,BCSIS,BCSIS,302,,302.0,3.0,1.0,0.0,303.0,306.0,
2018-2019,elementary,Boulder Universal,Boulder Universal,3,,3.0,1.0,0.0,0.0,3.0,4.0,
2018-2019,elementary,High Peaks,High Peaks,278,,278.0,9.0,4.0,0.0,282.0,291.0,
2018-2019,elementary,Community Montessori,Comm. Montessori,229,,229.0,19.0,6.0,0.0,235.0,254.0,
2018-2019,elementary,University Hill International,Uni-Hill Int.,366,,366.0,29.0,26.0,1.0,393.0,422.0,
2018-2019,elementary,Pioneer,Pioneer,340,,340.0,74.0,30.0,0.0,370.0,444.0,
2018-2019,elementary,Horizons,Horizons,226,,226.0,5.0,3.0,0.0,229.0,234.0,
2018-2019,elementary,Peak to Peak,Peak to Peak,341,,341.0,107.0,1.0,0.0,342.0,449.0,
2018-2019,high,Boulder,Boulder,2048,1818.0,230.0,31.0,12.0,,2060.0,2091.0,0.87
2018-2019,high,Fairview,Fairview,2116,1307.0,809.0,41.0,16.0,1.0,2133.0,2174.0,0.6
2018-2019,high,Broomfield,Broomfield,937,909.0,28.0,617.0,3.0,1.0,941.0,1558.0,0.58
2018-2019,high,Centaurus,Centaurus,1233,1022.0,211.0,65.0,4.0,4.0,1241.0,1306.0,0.78
2018-2019,high,Monarch,Monarch,1570,1352.0,218.0,128.0,8.0,,1578.0,1706.0,0.79
2018-2019,high,Nederland,Nederland,114,112.0,2.0,6.0,,1.0,115.0,121.0,0.93
2018-2019,high,Arapahoe Ridge,Arapahoe Ridge,106,,106.0,10.0,24.0,1.0,131.0,141.0,
2018-2019,high,Boulder Universal,Boulder Universal,28,,28.0,13.0,1.0,,29.0,42.0,
2018-2019,high,Halcyon,Halcyon,8,,8.0,,,,8.0,8.0,
2018-2019,high,New Vista,New Vista,267,,267.0,45.0,,,267.0,312.0,
2018-2019,high,Boulder Prep,Boulder Prep,61,,61.0,38.0,1.0,,62.0,100.0,
2018-2019,high,Peak to Peak,Peak-to-Peak,388,,388.0,201.0,3.0,1.0,392.0,593.0,
2018-2019,high,Justice High,Justice High,55,,55.0,33.0,5.0,,60.0,93.0,
2018-2019,middle,Manhattan,Manhattan,445,266.0,179.0,27.0,17.0,,462.0,489.0,0.54
2018-2019,middle,Casey,Casey,639,525.0,114.0,11.0,16.0,1.0,656.0,667.0,0.79
2018-2019,middle,Centennial,Centennial,622,574.0,48.0,8.0,4.0,,626.0,634.0,0.91
2018-2019,middle,Platt,Platt,558,343.0,215.0,14.0,8.0,,566.0,580.0,0.59
2018-2019,middle,Southern Hills,Southern Hills,520,390.0,130.0,8.0,10.0,,530.0,538.0,0.72
2018-2019,middle,Aspen Creek K-8,Aspen Creek K-8,352,331.0,21.0,69.0,3.0,,355.0,424.0,0.78
2018-2019,middle,Broomfield Heights,Broomfield Heights,368,299.0,69.0,187.0,10.0,,378.0,565.0,0.53
2018-2019,middle,Angevine,Angevine,673,636.0,37.0,13.0,4.0,2.0,679.0,692.0,0.92
2018-2019,middle,Meadowlark,Meadowlark,116,98.0,18.0,17.0,7.0,,123.0,140.0,0.7
2018-2019,middle,Louisville Middle,Louisville Middle,661,548.0,113.0,12.0,5.0,,666.0,678.0,0.81
2018-2019,middle,Monarch K-8,Monarch K-8,352,248.0,104.0,37.0,5.0,,357.0,394.0,0.63
2018-2019,middle,Eldorado K-8,Eldorado K-8,445,423.0,22.0,9.0,,,445.0,454.0,0.93
2018-2019,middle,Nederland,Nederland,122,120.0,2.0,2.0,,1.0,123.0,125.0,0.96
2018-2019,middle,Boulder Universal,Boulder Universal,14,,14.0,3.0,,,14.0,17.0,
2018-2019,middle,Halcyon,Halcyon,4,,4.0,,,,4.0,4.0,
