GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET3001,ET3002,ET3003,ET3004,ET3005,ET3006,ET3007,ET3008,ET3009,ET3010,ET3011,ET3012,ET3013,ET3014,ET3015,ET3016,ET3017,ET3018,ET3019,ET3020,ET3021,ET3022,ET3023,ET3024,ET3025,ET3026,ET3027,ET3028,ET3029,ET3030,ET3031
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Under 1 year,1 and 2 years,3 and 4 years,5 years,6 years,7 to 9 years,10 and 11 years,12 and 13 years,14 years,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"G1700970","1990","IL",,,,,,,,,,,,"14","Lake","097",,,"3","1602",,,,"3965","2","Illinois","17",,,,"0001159762","0002383486","Lake County","A","+42433350","-087776595","06",7960,18599,17290,8728,8047,24486,15566,14517,6776,6848,6680,6975,8891,10384,8684,7088,21374,43103,49671,46364,40859,31895,23713,19907,7760,10831,15150,11093,8035,4994,4150
"G1700990","1990","IL",,,,,,,,,,,,"99","La Salle","099",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0002939759","0000033861","La Salle County","A","+41340914","-088884873","06",1194,3059,2992,1535,1554,4805,3183,3045,1437,1474,1416,1500,1520,1547,1353,1204,3758,7690,8427,7736,6705,5805,5131,4996,2058,3336,5466,4628,3743,2506,2110
"G1701010","1990","IL",,,,,,,,,,,,"99","Lawrence","101",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0000963492","0000005078","Lawrence County","A","+38719587","-087730705","06",151,383,429,229,195,680,468,463,196,192,185,224,204,207,181,173,462,1065,1211,1146,968,761,810,761,310,577,856,755,724,534,472
"G1701030","1990","IL",,,,,,,,,,,,"99","Lee","103",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001878813","0000010169","Lee County","A","+41739948","-089299772","06",392,1005,980,501,494,1570,1086,1004,486,500,445,452,466,432,389,395,1263,2803,3002,2770,2320,1774,1685,1533,617,967,1476,1275,1044,682,584
"G1701050","1990","IL",,,,,,,,,,,,"99","Livingston","105",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0002703497","0000004332","Livingston County","A","+40888096","-088556736","06",446,1082,1082,573,633,1709,1084,1106,492,543,527,534,446,435,491,474,1588,3340,3524,3075,2552,2066,1793,1671,716,1107,1661,1531,1205,873,942
"G1701070","1990","IL",,,,,,,,,,,,"99","Logan","107",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001601066","0000002242","Logan County","A","+40126675","-089362724","06",325,826,807,427,408,1333,881,785,398,394,366,382,455,559,502,399,1232,2515,2618,2320,2057,1717,1455,1374,487,840,1338,1214,976,713,695
"G1701090","1990","IL",,,,,,,,,,,,"99","McDonough","109",,,"3","9999",,,,"9999","2","Illinois","17",,,,"0001526322","0000001945","McDonough County","A","+40455746","-090677581","06",284,737,729,337,365,1133,774,716,339,355,343,375,1499,2120,2052,1848,2510,2432,2108,2003,1877,1502,1342,1283,523,815,1341,1172,920,729,681
"G1701110","1990","IL",,,,,,,,,,,,"14","McHenry","111",,,"3","1602",,,,"1600","2","Illinois","17",,,,"0001564741","0000018213","McHenry County","A","+42324250","-088451932","06",2807,6601,6390,3175,3022,9447,6075,5485,2615,2604,2472,2579,2289,2253,2129,2066,6600,14934,18085,16644,15022,11795,8103,6620,2436,3654,5480,4463,3462,2184,1750
"G1701130","1990","IL",,,,,,,,,,,,"99","McLean","113",,,"3","1040",,,,"9999","2","Illinois","17",,,,"0003065630","0000006965","McLean County","A","+40494724","-088845335","06",1519,3611,3427,1820,1701,5289,3390,3187,1452,1579,1376,1471,3556,4917,5092,5033,8142,10604,10417,9862,8179,6161,4965,4463,1834,2680,4040,3276,2670,1813,1654
"G1701150","1990","IL",,,,,,,,,,,,"99","Macon","115",,,"3","2040",,,,"9999","2","Illinois","17",,,,"0001503639","0000012555","Macon County","A","+39860000","-088961299","06",1455,3425,3123,1691,1673,5115,3593,3562,1741,1694,1658,1677,1762,1761,1672,1480,4207,8102,9287,9164,8334,6887,5767,5597,2327,3370,5353,4299,3331,2202,1897
