school_year,level,area,area_raw,placed_out,living_in_area_total,oe_out_of_area,pct_enrolled_in_neighborhood,matrix_col_sum
2019-2020,middle,Platt,Platt,5.0,463,126,0.72,458
2019-2020,middle,Southern Hills,Southern Hills,5.0,518,136,0.73,513
2019-2020,middle,Aspen Creek K-8,Aspen Creek K-8,5.0,451,134,0.69,446
2019-2020,middle,Broomfield Heights,Broomfield Heights,2.0,356,40,0.88,354
2019-2020,middle,Angevine,Angevine,16.0,995,330,0.65,979
2019-2020,middle,Meadowlark,Meadowlark,5.0,242,98,0.57,237
2019-2020,middle,Louisville Middle,Louisville Middle,12.0,627,80,0.85,615
2019-2020,middle,Monarch K-8,Monarch K-8,3.0,357,98,0.72,354
2019-2020,middle,Eldorado K-8,Eldorado K-8,8.0,548,130,0.75,540
2019-2020,middle,Nederland,Nederland,1.0,136,26,0.8,135
2020-2021,elementary,Bear Creek,Bear Creek*,1.0,195,38,0.8,194
2020-2021,elementary,Columbine,Columbine,18.0,551,226,0.56,533
2020-2021,elementary,Creekside,Creekside*,6.0,495,242,0.5,489
2020-2021,elementary,Crest View,Crest View,17.0,764,353,0.52,747
2020-2021,elementary,Douglass,Douglass,9.0,301,88,0.68,292
2020-2021,elementary,Eisenhower,Eisenhower,6.0,415,144,0.64,409
2020-2021,elementary,Flatirons,Flatirons,2.0,207,89,0.56,205
2020-2021,elementary,Foothill,Foothill,3.0,492,103,0.78,489
2020-2021,elementary,Heatherwood,Heatherwood,2.0,296,99,0.66,294
2020-2021,elementary,Mesa,Mesa*,1.0,190,49,0.74,189
2020-2021,elementary,Whittier,Whittier,10.0,374,119,0.66,364
2020-2021,elementary,Optional Bear Creek/Creekside,Optional Bear Creek/ Creekside,0.0,37,4,0.89,37
2020-2021,elementary,Optional Bear Creek/Mesa,Optional Bear Creek/Mesa,1.0,170,30,0.82,169
2020-2021,elementary,Aspen Creek K-8,Aspen Creek K-8,9.0,322,92,0.69,313
2020-2021,elementary,Birch,Birch,7.0,295,95,0.65,288
2020-2021,elementary,Emerald,Emerald,13.0,328,79,0.72,315
2020-2021,elementary,Kohl,Kohl,24.0,279,60,0.7,255
2020-2021,elementary,Lafayette,Lafayette,14.0,611,270,0.54,597
2020-2021,elementary,Ryan,Ryan,20.0,660,263,0.57,640
2020-2021,elementary,Sanchez,Sanchez,10.0,546,305,0.42,536
2020-2021,elementary,Meadowlark,Meadowlark,13.0,517,107,0.77,504
2020-2021,elementary,Coal Creek,Coal Creek,7.0,392,94,0.74,385
2020-2021,elementary,Fireside,Fireside,4.0,342,51,0.84,338
2020-2021,elementary,Louisville,Louisville,3.0,549,125,0.77,546
2020-2021,elementary,Monarch K-8,Monarch K-8,4.0,270,85,0.67,266
2020-2021,elementary,Eldorado K-8,Eldorado K-8,3.0,318,66,0.78,315
2020-2021,elementary,Superior,Superior,6.0,437,61,0.85,431
2020-2021,elementary,Gold Hill,Gold Hill,0.0,7,0,1.0,7
2020-2021,elementary,Jamestown,Jamestown,0.0,15,2,0.87,15
2020-2021,elementary,Nederland,Nederland,1.0,209,31,0.85,208
2020-2021,high,Boulder,Boulder*,11.0,2364,509,0.78,2353
2020-2021,high,Fairview,Fairview*,11.0,1405,210,0.84,1394
2020-2021,high,Boulder/Fairview Optional,Boulder/Fairview Optional,7.0,305,37,0.86,298
2020-2021,high,Broomfield,Broomfield,8.0,1093,216,0.8,1085
2020-2021,high,Centaurus,Centaurus,17.0,1774,636,0.63,1757
2020-2021,high,Monarch,Monarch,13.0,2002,701,0.64,1989
2020-2021,high,Nederland,Nederland,2.0,162,61,0.61,160
2020-2021,middle,Manhattan,Manhattan,4.0,461,232,0.49,457
2020-2021,middle,Casey,Casey,7.0,597,194,0.66,590
2020-2021,middle,Centennial,Centennial,17.0,747,247,0.65,730
2020-2021,middle,Platt,Platt,7.0,457,158,0.64,450
2020-2021,middle,Southern Hills,Southern Hills,3.0,495,170,0.65,492
2020-2021,middle,Aspen Creek K-8,Aspen Creek K-8,8.0,400,141,0.63,392
2020-2021,middle,Broomfield Heights,Broomfield Heights,2.0,350,60,0.82,348
2020-2021,middle,Angevine,Angevine,16.0,967,346,0.63,951
2020-2021,middle,Meadowlark,Meadowlark,6.0,255,100,0.58,249
2020-2021,middle,Louisville Middle,Louisville Middle,12.0,577,92,0.82,565
2020-2021,middle,Monarch K-8,Monarch K-8,6.0,328,103,0.67,322
2020-2021,middle,Eldorado K-8,Eldorado K-8,5.0,489,153,0.68,484
2020-2021,middle,Nederland,Nederland,,118,19,0.84,118
2021-2022,elementary,Bear Creek,Bear Creek*,0.0,197,28,0.86,197
2021-2022,elementary,Columbine,Columbine,25.0,510,198,0.56,485
2021-2022,elementary,Creekside,Creekside*,5.0,485,224,0.53,480
2021-2022,elementary,Crest View,Crest View,19.0,739,322,0.54,720
2021-2022,elementary,Douglass,Douglass,11.0,314,89,0.68,303
2021-2022,elementary,Eisenhower,Eisenhower,8.0,418,140,0.65,410
2021-2022,elementary,Flatirons,Flatirons,7.0,206,73,0.61,199
2021-2022,elementary,Foothill,Foothill,4.0,493,104,0.78,489
2021-2022,elementary,Heatherwood,Heatherwood,3.0,303,93,0.68,300
2021-2022,elementary,Mesa,Mesa*,0.0,198,39,0.8,198
2021-2022,elementary,Whittier,Whittier,11.0,361,113,0.66,350
2021-2022,elementary,Optional Bear Creek/Creekside,Optional Bear Creek/ Creekside,0.0,39,3,0.92,39
2021-2022,elementary,Optional Bear Creek/Mesa,Optional Bear Creek/Mesa,3.0,158,25,0.82,155
2021-2022,elementary,Aspen Creek K-8,Aspen Creek K-8,5.0,324,86,0.72,319
2021-2022,elementary,Birch,Birch,9.0,297,80,0.7,288
2021-2022,elementary,Emerald,Emerald,11.0,308,58,0.78,297
2021-2022,elementary,Kohl,Kohl,14.0,280,60,0.74,266
2021-2022,elementary,Lafayette,Lafayette,13.0,654,261,0.58,641
2021-2022,elementary,Ryan,Ryan,18.0,680,244,0.61,662
2021-2022,elementary,Sanchez,Sanchez,10.0,569,297,0.46,559
2021-2022,elementary,Meadowlark,Meadowlark,14.0,585,147,0.72,571
2021-2022,elementary,Coal Creek,Coal Creek,7.0,421,86,0.78,414
2021-2022,elementary,Fireside,Fireside,4.0,363,49,0.85,359
2021-2022,elementary,Louisville,Louisville,6.0,537,108,0.79,531
2021-2022,elementary,Monarch K-8,Monarch K-8,3.0,253,67,0.72,250
2021-2022,elementary,Eldorado K-8,Eldorado K-8,4.0,301,57,0.8,297
2021-2022,elementary,Superior,Superior,3.0,455,53,0.88,452
2021-2022,elementary,Gold Hill,Gold Hill,0.0,10,0,1.0,10
2021-2022,elementary,Jamestown,Jamestown,1.0,14,2,0.79,13
2021-2022,elementary,Nederland,Nederland,1.0,203,25,0.87,202
2021-2022,high,Boulder,Boulder*,15.0,2312,463,0.79,2297
2021-2022,high,Fairview,Fairview*,9.0,1348,197,0.85,1339
2021-2022,high,Boulder/Fairview Optional,Boulder/Fairview Optional,6.0,311,24,0.9,305
2021-2022,high,Broomfield,Broomfield,8.0,1077,194,0.81,1069
2021-2022,high,Centaurus,Centaurus,12.0,1813,620,0.65,1801
2021-2022,high,Monarch,Monarch,15.0,1958,705,0.63,1943
2021-2022,high,Nederland,Nederland,,176,58,0.67,176
2021-2022,middle,Manhattan,Manhattan,7.0,458,232,0.48,451
2021-2022,middle,Casey,Casey,3.0,568,165,0.7,565
2021-2022,middle,Centennial,Centennial,13.0,786,239,0.68,773
2021-2022,middle,Platt,Platt,6.0,400,124,0.68,394
2021-2022,middle,Southern Hills,Southern Hills,4.0,456,128,0.71,452
2021-2022,middle,Aspen Creek K-8,Aspen Creek K-8,14.0,351,106,0.66,337
2021-2022,middle,Broomfield Heights,Broomfield Heights,2.0,339,43,0.87,337
2021-2022,middle,Angevine,Angevine,20.0,939,295,0.66,919
2021-2022,middle,Meadowlark,Meadowlark,5.0,253,101,0.58,248
2021-2022,middle,Louisville Middle,Louisville Middle,9.0,554,84,0.83,545
2021-2022,middle,Monarch K-8,Monarch K-8,3.0,332,90,0.72,329
2021-2022,middle,Eldorado K-8,Eldorado K-8,6.0,463,146,0.67,457
2021-2022,middle,Nederland,Nederland,,123,18,0.85,123
2022-2023,elementary,Bear Creek,Bear Creek*,0.0,193,31,0.84,193
