year,candidate_sov,node_id,endorser_type,org_type,office_status_at_endorsement,held_boulder_council,held_any_elected_office,served_board_commission,page_section
2015,Bob Yates,e01038,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01045,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01051,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01062,person,,former,True,True,False,Bob's Backers
2015,Bob Yates,e01072,person,,current,True,True,False,Bob's Backers
2015,Bob Yates,e01085,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01086,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01089,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01092,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01103,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01105,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01107,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01111,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01115,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01116,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01119,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01132,person,,former,True,True,False,Bob's Backers
2015,Bob Yates,e01145,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01149,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01150,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01166,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01167,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01187,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01190,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01193,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01205,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01220,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01227,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01231,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01232,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01243,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01247,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01258,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01259,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01266,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01268,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01282,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01300,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01302,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01304,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01312,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01314,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01318,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01319,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01324,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01339,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01346,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01366,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01371,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01380,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01385,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01397,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01398,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01403,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01415,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01419,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01424,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01425,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01426,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01432,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01442,person,,former,True,True,False,Bob's Backers
2015,Bob Yates,e01443,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01445,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01455,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01456,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01468,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01470,person,,current,True,True,False,Bob's Backers
2015,Bob Yates,e01489,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01491,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01493,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01496,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01497,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01499,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01508,person,,former,True,True,False,Bob's Backers
2015,Bob Yates,e01520,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01532,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01541,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01545,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01549,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01552,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01554,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01556,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01562,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01568,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01576,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01586,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01587,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01605,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01611,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01612,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01613,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01615,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01619,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01622,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01623,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01639,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01642,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01654,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01656,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01660,person,,,False,False,False,Bob's Backers
