campaign_id,year,committee_type,committee,committee_number,candidate,kind,n_donors,dollars_itemized,candidate_sov,contest,votes,elected,slate_side,slate_side_two_poles,slate_groups
2021|cand|Jacques Decalo,2021,Official Candidate Committee,Jacques Decalo for City Council,2021-OCC-017,Jacques Decalo,candidate,19.0,1270.0,Jacques Decalo,council,3908,FALSE,A,A,daily_camera;plan_boulder_county
2021|cand|Lauren Folkerts,2021,Official Candidate Committee,Lauren Folkerts for Boulder,2021-OCC-007,Lauren Folkerts,candidate,145.0,10990.0,Lauren Folkerts,council,15763,TRUE,B,B,bedrooms_are_for_people;better_boulder;boulder_area_labor_council;boulder_coalition;boulder_dsa;boulder_progressives;boulder_weekly;open_boulder;sierra_club_indian_peaks;south_boulder_creek_action_group;united_campus_workers;yellow_scene
2021|cand|Mark Wallach,2021,Official Candidate Committee,Wallach for Council,2021-OCC-006,Mark Wallach,candidate,128.0,11019.93,Mark Wallach,council,17683,TRUE,A,A,advocates_for_clean_teens;boulder_area_labor_council;boulder_weekly;daily_camera;frwrd_boulder;plan_boulder_county;safer_boulder;thinkboulder;together4boulder
2021|cand|Matthew Benjamin,2021,Official Candidate Committee,Matt Benjamin for Council,2021-OCC-008,Matthew Benjamin,candidate,125.0,10165.0,Matt Benjamin,council,16501,TRUE,B,B,bedrooms_are_for_people;better_boulder;boulder_area_labor_council;boulder_coalition;boulder_progressives;boulder_weekly;colorado_working_families_party;daily_camera;open_boulder;sierra_club_indian_peaks;south_boulder_creek_action_group;united_campus_workers;yellow_scene
2021|cand|Michael Christy,2021,Official Candidate Committee,Michael for Boulder,2021-OCC-012,Michael Christy,candidate,131.0,10930.0,Michael Christy,council,14558,FALSE,A,A,advocates_for_clean_teens;daily_camera;frwrd_boulder;plan_boulder_county;safer_boulder;thinkboulder;together4boulder;yellow_scene
2021|cand|Nicole Speer,2021,Official Candidate Committee,Together with Nicole Speer,2021-OCC-005,Nicole Speer,candidate,155.0,10866.0,Nicole Speer,council,16287,TRUE,B,B,bedrooms_are_for_people;better_boulder;boulder_area_labor_council;boulder_coalition;boulder_dsa;boulder_progressives;boulder_weekly;colorado_working_families_party;cwa_colorado_wyoming;open_boulder;sierra_club_indian_peaks;south_boulder_creek_action_group;united_campus_workers;yellow_scene
2021|cand|Steven Rosenblum,2021,Official Candidate Committee,Steve for Boulder,2021-OCC-009,Steven Rosenblum,candidate,125.0,11574.0,Steve Rosenblum,council,13309,FALSE,A,A,advocates_for_clean_teens;frwrd_boulder;plan_boulder_county;safer_boulder;thinkboulder;together4boulder
2021|cand|Tara Winer,2021,Official Candidate Committee,Tara Winer for Council,2021-OCC-010,Tara Winer,candidate,138.0,12086.0,Tara Winer,council,15205,TRUE,A,A,advocates_for_clean_teens;daily_camera;frwrd_boulder;plan_boulder_county;safer_boulder;thinkboulder;together4boulder
2021|issue|Bedrooms Are For People,2021,Ballot Measure Committee,Bedrooms Are For People,2021-BMC-001,,issue,192.0,30762.45,,,,,,,
2021|issue|NO on 301:  A Wolf in Sheep's Clothing,2021,Ballot Measure Committee,NO on 301:  A Wolf in Sheep's Clothing,2021-BMC-024,,issue,6.0,2327.65,,,,,,,
2021|issue|NO on Bedroom$,2021,Ballot Measure Committee,NO on Bedroom$,2021-BMC-002,,issue,88.0,15557.98,,,,,,,
2021|issue|Protect Our Neighbors,2021,Ballot Measure Committee,Protect Our Neighbors,2021-BMC-011,,issue,106.0,18190.5,,,,,,,
2021|issue|Save CU South,2021,Ballot Measure Committee,Save CU South,2021-BMC-003,,issue,97.0,16445.58,,,,,,,
2021|issue|Sierra Club Indian Peaks BMC,2021,Ballot Measure Committee,Sierra Club Indian Peaks BMC,2021-BMC-022,,issue,16.0,2100.0,,,,,,,
2021|issue|The Humane Clothing Act Committee,2021,Ballot Measure Committee,The Humane Clothing Act Committee,2021-BMC-004,,issue,1.0,140.0,,,,,,,
2022|issue|Boulder Progressives,2022,Ballot Measure Committee,Boulder Progressives,2022-BMC-006,,issue,24.0,2740.0,,,,,,,
2022|issue|No More Delay for Flood Safety,2022,Ballot Measure Committee,No More Delay for Flood Safety,2022-BMC-002,,issue,94.0,77603.65,,,,,,,
