donor_id,first_year,last_year,n_years,n_campaigns,total_dollars,key_has_zip,zip
d02433,2023,2023,1,1,103.48,True,80304
d02434,2023,2023,1,2,198.0,True,80304
d02435,2017,2017,1,1,20.0,True,80304
d02436,2021,2021,1,1,20.0,True,80303
d02437,2015,2015,1,1,100.0,True,07642
d02438,2017,2017,1,1,100.0,True,80304
d02439,2019,2026,3,6,314.0,True,80302
d02440,2021,2021,1,1,50.0,False,
d02441,2017,2021,2,2,450.0,False,
d02442,2021,2021,1,1,100.0,True,80302
d02443,2025,2025,1,1,100.0,False,
d02444,2017,2017,1,1,35.0,True,80301
d02445,2016,2016,1,1,100.0,True,80304
d02446,2023,2023,1,1,15.0,True,80305
d02447,2019,2019,1,1,100.0,True,80907
d02448,2019,2019,1,1,100.0,True,80301
d02449,2019,2019,1,1,50.0,True,80304
d02450,2020,2020,1,1,47.349999999999994,False,
d02451,2021,2021,1,1,50.0,True,80026
d02452,2020,2020,1,1,162.0,True,80304
d02453,2025,2025,1,1,50.0,False,
d02454,2023,2023,1,1,100.0,True,80301
d02455,2026,2026,1,1,100.0,False,
d02456,2017,2017,1,1,30.0,True,80305
d02457,2025,2025,1,1,100.0,False,
d02458,2021,2021,1,1,10.7,False,
d02459,2019,2025,3,4,96.68,True,80301
d02460,2023,2023,1,1,50.0,True,80015
d02461,2023,2023,1,1,25.0,True,80026
d02462,2024,2024,1,1,100.0,False,
d02463,2019,2019,1,1,100.0,False,
d02464,2015,2015,1,1,35.0,True,80027
d02465,2023,2023,1,1,2000.0,True,80302
d02466,2019,2019,1,1,20.0,True,80249
d02467,2021,2021,1,1,10.0,True,80303
d02468,2015,2025,2,2,75.0,True,80466
d02469,2023,2026,2,2,100.0,True,04347
d02470,2023,2023,1,1,50.0,True,23221
d02471,2019,2019,1,1,25.0,True,80504
d02472,2019,2026,2,2,128.9,True,80304
d02473,2021,2021,1,1,200.0,True,80303
d02474,2019,2019,1,1,100.0,True,91423
d02475,2015,2015,1,1,100.0,True,80301
d02476,2020,2020,1,1,28.0,True,80304
d02477,2015,2015,1,1,50.0,True,80304
d02478,2023,2023,1,1,100.0,True,98862
d02479,2020,2020,1,1,200.0,False,
d02480,2026,2026,1,1,100.0,False,
d02481,2015,2021,4,11,700.0,True,80305
d02482,2020,2020,1,1,54.0,True,80303
d02483,2015,2015,1,1,100.0,False,
d02484,2021,2021,1,1,100.0,True,80304
d02485,2023,2023,1,1,25.0,True,80224
d02486,2023,2023,1,1,100.0,True,80503
d02487,2021,2021,1,1,26.27,False,
d02488,2020,2020,1,1,10.7,False,
d02489,2019,2019,1,1,50.0,True,80501
d02490,2017,2019,2,2,100.0,True,80304
d02491,2019,2022,2,2,72.5,True,80302
d02492,2015,2015,1,1,100.0,True,80302
d02493,2015,2023,3,3,300.0,True,80304
d02494,2019,2019,1,1,100.0,True,80305
d02495,2023,2023,1,1,100.0,True,80303
d02496,2019,2019,1,1,20.0,True,80303
d02497,2017,2017,1,1,25.0,True,93023
d02498,2024,2024,1,1,200.0,False,
d02499,2026,2026,1,1,100.0,False,
d02500,2021,2021,1,1,25.0,True,80303
d02501,2015,2023,6,15,1800.0,True,80302
