node_id,endorser_type,org_type,held_boulder_council,held_any_elected_office,served_board_commission,first_year,n_years,n_candidates
e00494,person,,False,False,True,2019,1,4
e00495,person,,False,False,False,2019,1,1
e00496,person,,False,False,False,2019,3,4
e00497,person,,False,False,False,2015,2,1
e00498,person,,False,True,False,2025,1,1
e00499,person,,False,False,False,2015,1,1
e00500,person,,False,False,False,2026,1,1
e00501,person,,False,False,False,2021,1,1
e00502,person,,False,False,False,2023,1,1
e00503,person,,False,False,False,2019,3,2
e00504,person,,False,False,False,2019,1,1
e00505,person,,False,False,False,2025,1,1
e00506,person,,False,False,False,2023,2,3
e00507,person,,False,False,False,2015,2,1
e00508,person,,False,False,False,2021,1,1
e00509,person,,False,False,False,2019,2,2
e00510,person,,False,False,False,2021,1,1
e00511,person,,False,False,False,2023,2,2
e00512,person,,False,False,False,2019,1,1
e00513,person,,False,False,False,2021,1,1
e00514,person,,False,False,False,2019,1,1
e00515,person,,False,False,False,2025,1,1
e00516,person,,False,False,False,2025,1,1
e00517,person,,False,False,True,2023,1,1
e00518,person,,False,False,False,2015,2,1
e00519,person,,False,False,False,2026,1,1
e00520,person,,False,False,False,2023,1,1
e00521,person,,False,False,False,2015,1,1
e00522,person,,False,False,False,2023,1,2
e00523,person,,False,False,False,2025,1,1
e00524,person,,False,False,False,2025,2,2
e00525,person,,False,False,False,2021,1,1
e00526,person,,False,False,False,2023,1,1
e00527,person,,False,False,False,2015,1,1
e00528,person,,False,False,False,2021,2,1
e00529,person,,False,False,False,2019,1,1
e00530,person,,True,True,False,2015,5,9
e00531,person,,True,True,False,2025,2,3
e00532,person,,False,False,False,2026,1,1
e00533,person,,False,False,False,2019,1,1
e00534,person,,True,True,False,2015,6,7
e00535,person,,False,False,False,2025,1,1
e00536,person,,False,False,False,2017,2,2
e00537,person,,False,False,False,2026,1,2
e00538,person,,False,False,True,2019,3,6
e00539,person,,False,False,False,2021,1,1
e00540,person,,False,False,True,2023,1,1
e00541,person,,False,False,False,2025,1,1
e00542,person,,False,False,False,2023,2,2
e00543,person,,False,False,False,2019,1,1
e00544,person,,False,False,False,2015,3,2
e00545,person,,False,False,False,2019,1,1
e00546,person,,False,False,False,2025,1,1
e00547,person,,False,False,False,2019,1,1
e00548,person,,False,False,False,2025,1,1
e00549,person,,True,True,False,2015,5,9
e00550,person,,False,False,False,2021,1,1
e00551,person,,False,False,False,2025,1,1
e00552,person,,False,False,False,2015,2,2
e00553,person,,False,False,False,2023,1,1
e00554,person,,False,False,False,2015,1,1
e00555,person,,True,True,False,2015,6,10
e00556,person,,False,False,False,2019,1,1
e00557,person,,False,False,False,2015,1,1
e00558,person,,False,False,False,2019,1,1
e00559,person,,False,False,False,2025,1,1
e00560,person,,True,True,False,2015,2,1
e00561,person,,False,False,False,2019,1,1
e00562,person,,False,False,False,2015,1,1
e00563,person,,False,False,False,2025,1,1
e00564,person,,False,True,False,2015,3,2
e00565,person,,False,False,False,2021,2,2
e00566,person,,False,False,False,2017,3,4
e00567,person,,False,False,False,2019,1,1
e00568,person,,False,False,False,2019,1,1
e00569,person,,False,False,False,2015,2,1
e00570,person,,False,False,False,2021,1,1
e00571,person,,False,False,False,2025,1,1
e00572,person,,False,False,False,2021,3,4
e00573,person,,False,False,True,2023,2,2
e00574,person,,False,False,False,2025,1,1
e00575,person,,False,False,False,2019,1,1
e00576,person,,False,False,False,2021,2,1
e00577,person,,False,False,False,2026,1,1
e00578,person,,False,False,False,2023,1,1
e00579,person,,False,False,False,2021,2,1
e00580,person,,False,False,False,2015,2,1
e00581,person,,False,False,False,2019,4,4
e00582,person,,False,False,True,2015,2,3
e00583,person,,False,False,False,2025,1,1
e00584,person,,False,False,False,2019,1,1
e00585,person,,False,False,False,2015,2,1
e00586,person,,False,False,False,2023,1,1
e00587,person,,False,False,False,2023,1,1
e00588,person,,False,False,False,2021,1,1
e00589,person,,False,False,False,2019,1,1
e00590,person,,False,False,False,2026,1,1
e00591,person,,False,False,False,2025,1,1
e00592,person,,False,False,False,2015,2,1
e00593,person,,False,False,False,2026,1,1
e00594,person,,False,False,False,2023,1,1
e00595,person,,False,False,False,2019,1,1
e00596,person,,False,False,False,2019,1,1
e00597,person,,False,False,False,2015,1,1
e00598,person,,False,False,False,2015,1,1
e00599,person,,False,False,False,2019,1,1
e00600,person,,True,True,False,2019,1,1
e00601,person,,False,False,False,2021,1,1
e00602,person,,False,False,False,2025,1,1
e00603,person,,False,False,False,2025,1,1
e00604,person,,False,False,False,2026,1,1
e00605,person,,False,False,False,2021,1,1
e00606,person,,False,False,False,2025,1,1
e00607,person,,False,False,False,2023,1,1
e00608,person,,False,False,False,2025,1,1
e00609,person,,False,False,False,2019,1,1
e00610,person,,False,False,False,2021,1,1
e00611,person,,False,False,False,2021,1,1
e00612,person,,False,False,False,2023,1,1
e00613,person,,False,False,False,2021,1,1
e00614,person,,False,False,False,2015,2,1
e00615,person,,False,False,True,2019,5,8
e00616,person,,False,False,False,2015,1,1
e00617,person,,False,False,False,2023,1,1
e00618,person,,False,False,False,2021,1,1
e00619,person,,False,False,False,2019,1,1
e00620,person,,False,False,False,2021,1,1
e00621,person,,False,False,False,2023,2,3
e00622,person,,False,False,False,2019,3,5
e00623,person,,False,False,False,2019,1,1
e00624,person,,False,False,False,2019,1,1
e00625,person,,False,False,False,2021,1,1
e00626,person,,False,False,False,2017,1,1
e00627,person,,False,False,False,2019,1,1
e00628,person,,False,False,False,2015,1,1
e00629,person,,False,False,False,2019,1,1
e00630,person,,False,False,False,2019,1,1
e00631,person,,False,False,False,2023,1,1
e00632,person,,False,False,False,2023,1,1
e00633,person,,False,False,False,2019,1,1
e00634,person,,False,False,True,2015,2,2
e00635,person,,False,False,False,2015,1,1
e00636,person,,False,False,False,2019,1,2
e00637,person,,False,False,False,2015,1,1
e00638,person,,False,False,True,2021,1,2
e00639,person,,False,False,False,2015,2,1
e00640,person,,False,False,False,2021,1,1
e00641,person,,False,False,False,2023,1,1
e00642,person,,False,False,False,2023,1,1
e00643,person,,False,False,False,2025,1,1
e00644,person,,False,True,False,2025,1,1
e00645,person,,False,False,False,2015,2,1
e00646,person,,False,False,False,2015,1,1
e00647,person,,False,False,False,2023,1,1
e00648,person,,False,False,False,2019,1,1
e00649,person,,False,False,False,2026,1,1
e00650,person,,False,False,False,2019,1,1
e00651,person,,False,False,False,2023,1,1
e00652,person,,False,False,False,2019,1,1
e00653,person,,False,False,False,2019,1,1
e00654,person,,False,False,False,2026,1,1
e00655,person,,False,False,False,2026,1,1
e00656,person,,False,False,False,2021,2,2
e00657,person,,False,False,True,2019,4,3
e00658,person,,False,False,False,2025,1,1
e00659,person,,False,False,False,2015,2,1
e00660,person,,False,False,False,2019,1,1
e00661,person,,False,False,False,2019,1,1
e00662,person,,False,False,False,2019,2,2
e00663,person,,False,False,False,2023,1,1
e00664,person,,False,False,False,2017,5,9
e00665,person,,False,False,False,2026,1,3
e00666,person,,False,False,False,2021,1,1
e00667,person,,False,False,False,2021,1,1
e00668,person,,False,False,False,2019,1,1
e00669,person,,False,False,True,2019,3,6
e00670,person,,False,False,False,2019,1,1
e00671,person,,False,False,False,2023,1,1
e00672,person,,False,False,False,2019,1,1
e00673,person,,False,False,False,2021,1,1
e00674,person,,False,False,False,2015,2,1
e00675,person,,False,False,False,2019,1,1
e00676,person,,False,False,False,2015,5,8
e00677,person,,False,False,False,2023,1,1
e00678,person,,False,False,False,2019,1,1
e00679,person,,False,False,False,2015,1,1
e00680,person,,False,False,False,2021,1,1
e00681,person,,False,False,False,2021,3,4
e00682,person,,False,False,False,2015,2,1
e00683,person,,False,False,False,2015,1,1
e00684,person,,False,False,False,2021,1,1
e00685,person,,True,True,False,2015,2,1
e00686,person,,False,False,False,2026,1,1
e00687,person,,False,False,False,2021,1,1
e00688,person,,False,False,False,2015,1,1
e00689,person,,False,False,False,2017,1,1
