series,year,label,url,fmt,measure,grain,filename
membership,2003,Membership Trends for Asian Students (1999-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200314internet.xls,xls,other,unknown,ed59017200314internet.xls
membership,2003,Membership Trends for Black Students (1999-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200315internet.pdf,pdf,other,unknown,ed59017200315internet.pdf
membership,2003,Membership Trends for Black Students (1999-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200316internet.xls,xls,other,unknown,ed59017200316internet.xls
membership,2003,District Level Data Denver Metro Area Student Enrollment Increase from 1993 to 2003,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200317internet.pdf,pdf,other,unknown,ed59017200317internet.pdf
membership,2003,District Level Data Denver Metro Area Student Enrollment Increase from 1993 to 2003,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200318internet.xls,xls,other,unknown,ed59017200318internet.xls
membership,2003,Membership Trends for Elementary Schools (1993 to 2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200319internet.pdf,pdf,other,unknown,ed59017200319internet.pdf
membership,2003,Membership Trends for Elementary Schools (1993 to 2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200320internet.xls,xls,other,unknown,ed59017200320internet.xls
membership,2003,"K-12 Free and Reduced Lunch Eligibility by County, and District",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200321internet.pdf,pdf,other,unknown,ed59017200321internet.pdf
membership,2003,"K-12 Free and Reduced Lunch Eligibility by County, and District",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200322internet.xls,xls,other,unknown,ed59017200322internet.xls
membership,2003,"PK-12 Free and Reduced Lunch Eligibility by County, and District",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200323internet.pdf,pdf,other,unknown,ed59017200323internet.pdf
membership,2003,"PK-12 Free and Reduced Lunch Eligibility by County, and District",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200324internet.xls,xls,other,unknown,ed59017200324internet.xls
membership,2003,"K-12 Free and Reduced Lunch Eligibility by County, District and School",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200325internet.pdf,pdf,other,unknown,ed59017200325internet.pdf
membership,2003,Free and Reduced Lunch by School K-12,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200325internet.pdf,pdf,other,unknown,ed59017200325internet.pdf
membership,2003,"K-12 Free and Reduced Lunch Eligibility by County, District and School",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200326internet.xls,xls,other,unknown,ed59017200326internet.xls
membership,2003,Free and Reduced Lunch by School K-12,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200326internet.xls,xls,other,unknown,ed59017200326internet.xls
membership,2003,"PK-12 Free and Reduced Lunch Eligibility by County, District, and School",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200327internet.pdf,pdf,other,unknown,ed59017200327internet.pdf
membership,2003,Free and Reduced Lunch by School PK-12,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200327internet.pdf,pdf,other,unknown,ed59017200327internet.pdf
membership,2003,"PK-12 Free and Reduced Lunch Eligibility by County, District, and School",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200328internet.xls,xls,other,unknown,ed59017200328internet.xls
membership,2003,Free and Reduced Lunch by School PK-12,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200328internet.xls,xls,other,unknown,ed59017200328internet.xls
membership,2003,Membership Trends for Hispanic Students (1999-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200329internet.pdf,pdf,other,unknown,ed59017200329internet.pdf
membership,2003,Membership Trends for Hispanic Students (1999-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200330internet.xls,xls,other,unknown,ed59017200330internet.xls
membership,2003,"Home-Based Education Membership As specified in 22-33-104.5 C.R.S. (formerly ""Home Study"") Home-Based Education (Fall 1999 to Fall 2003)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200331internet.pdf,pdf,other,unknown,ed59017200331internet.pdf
membership,2003,"Home-Based Education Membership As specified in 22-33-104.5 C.R.S. (formerly ""Home Study"") Home-Based Education (Fall 1999 to Fall 2003)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200332internet.xls,xls,other,unknown,ed59017200332internet.xls
membership,2003,Membership Trends for District Totals (1999-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200333internet.pdf,pdf,other,unknown,ed59017200333internet.pdf
membership,2003,Membership Trends for District Totals (1999-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200334internet.xls,xls,other,unknown,ed59017200334internet.xls
membership,2003,Districts Serving Non-Resident Students,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200335internet.pdf,pdf,other,unknown,ed59017200335internet.pdf
membership,2003,Districts Serving Non-Resident Students,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200336internet.xls,xls,other,unknown,ed59017200336internet.xls
membership,2003,Students Attending Public Schools Not in Parent's District of Residence,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200337internet.pdf,pdf,other,unknown,ed59017200337internet.pdf
membership,2003,Students Attending Public Schools Not in Parent's District of Residence,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200338internet.xls,xls,other,unknown,ed59017200338internet.xls
membership,2003,Pupil Membership by District Setting,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200339internet.pdf,pdf,other,unknown,ed59017200339internet.pdf
membership,2003,Pupil Membership by District Setting,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200340internet.xls,xls,other,unknown,ed59017200340internet.xls
membership,2003,Membership Trends for Secondary Schools (1993-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200341internet.pdf,pdf,other,unknown,ed59017200341internet.pdf
membership,2003,Membership Trends for Secondary Schools (1993-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200342internet.xls,xls,other,unknown,ed59017200342internet.xls
membership,2003,Membership Trends for White Students (1999-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200343internet.pdf,pdf,other,unknown,ed59017200343internet.pdf
membership,2003,Membership Trends for White Students (1999-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200344internet.xls,xls,other,unknown,ed59017200344internet.xls
membership,2003,Non-Public School Membership Non-Public School Membership by Grade Level,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200345internet.pdf,pdf,other,unknown,ed59017200345internet.pdf
membership,2003,Non-Public School Membership Non-Public School Membership by Grade Level,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200346internet.xls,xls,other,unknown,ed59017200346internet.xls
membership,2003,Pupil Counts by Year (1983 through 2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200357internet.pdf,pdf,other,unknown,ed59017200357internet.pdf
membership,2003,Pupil Counts by Year (1983 through 2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200358internet.xls,xls,other,unknown,ed59017200358internet.xls
