year,measure,basis,value,unit,source_id
2016,budget_general_fund_revenue,adopted,128.264,musd,booksocr
2016,budget_operating,adopted,254.395,musd,books
2016,budget_operating_dedicated,adopted,137.432,musd,books
2016,budget_operating_general,adopted,116.963,musd,books
2016,budget_total,adopted,327.699,musd,books
2016,deptexp_administration,adopted,34.825,musd,books
2016,deptexp_citywide_debt,adopted,5.101,musd,books
2016,deptexp_community_services,adopted,15.611,musd,books
2016,deptexp_infrastructure,adopted,145.656,musd,books
2016,deptexp_parks_openspace,adopted,59.606,musd,books
2016,deptexp_planning_climate,adopted,14.234,musd,books
2016,deptexp_public_safety,adopted,52.666,musd,books
2016,revenue_intergovernmental,adopted,3.05,musd,booksocr
2016,revenue_other_unmapped,adopted,96.156,musd,booksocr
2016,revenue_property_tax,adopted,33.442,musd,booksocr
2016,revenue_sales_use_tax,adopted,124.602,musd,booksocr
2016,revenue_total,adopted,319.535,musd,booksocr
2016,revenue_utility,adopted,62.285,musd,booksocr
2016,staffing_fte,adopted,1419.12,fte,books
2016,staffing_fte,restated,1427.24,fte,books
2017,budget_capital,adopted,61.189,musd,books
2017,budget_general_fund,adopted,139.792,musd,books
2017,budget_general_fund_revenue,adopted,138.075,musd,booksocr
2017,budget_operating,adopted,260.677,musd,books
2017,budget_operating_dedicated,adopted,129.815,musd,books
2017,budget_operating_general,adopted,130.862,musd,books
2017,budget_total,adopted,321.866,musd,books
2017,deptexp_administration,adopted,38.518,musd,books
2017,deptexp_citywide_debt,adopted,5.105,musd,books
2017,deptexp_community_services,adopted,17.103,musd,books
2017,deptexp_infrastructure,adopted,131.131,musd,books
2017,deptexp_parks_openspace,adopted,60.979,musd,books
2017,deptexp_planning_climate,adopted,15.178,musd,books
2017,deptexp_public_safety,adopted,53.852,musd,books
2017,revenue_intergovernmental,adopted,4.21,musd,booksocr
2017,revenue_other_unmapped,adopted,83.349,musd,booksocr
2017,revenue_property_tax,adopted,39.047,musd,booksocr
2017,revenue_sales_use_tax,adopted,127.931,musd,booksocr
2017,revenue_total,adopted,315.525,musd,booksocr
2017,revenue_utility,adopted,60.988,musd,booksocr
2017,staffing_fte,adopted,1447.36,fte,books
2018,budget_capital,adopted,111.654,musd,booksocr
2018,budget_general_fund,adopted,146.321,musd,books
2018,budget_general_fund_revenue,adopted,143.493,musd,booksocr
2018,budget_operating,adopted,277.556,musd,booksocr
2018,budget_operating_dedicated,adopted,139.875,musd,booksocr
2018,budget_operating_general,adopted,137.681,musd,booksocr
2018,budget_total,adopted,389.21,musd,books
2018,deptexp_administration,adopted,39.649,musd,booksocr
2018,deptexp_citywide_debt,adopted,7.265,musd,booksocr
2018,deptexp_community_services,adopted,19.636,musd,booksocr
2018,deptexp_infrastructure,adopted,183.406,musd,booksocr
2018,deptexp_parks_openspace,adopted,64.127,musd,booksocr
2018,deptexp_planning_climate,adopted,18.715,musd,booksocr
2018,deptexp_public_safety,adopted,56.413,musd,booksocr
2018,revenue_other_unmapped,adopted,153.294,musd,booksocr
2018,revenue_property_tax,adopted,46.451,musd,booksocr
2018,revenue_sales_use_tax,adopted,125.998,musd,booksocr
2018,revenue_total,adopted,390.898,musd,booksocr
2018,revenue_utility,adopted,65.155,musd,booksocr
2018,staffing_fte,adopted,1451.09,fte,books
2019,budget_capital,adopted,70.557,musd,booksocr
2019,budget_operating,adopted,283.2,musd,books
2019,budget_operating_dedicated,adopted,137.956,musd,booksocr
2019,budget_operating_general,adopted,145.232,musd,booksocr
2019,budget_total,adopted,353.746,musd,books
2019,deptexp_administration,adopted,53.515,musd,booksocr
2019,deptexp_community_services,adopted,33.562,musd,booksocr
2019,deptexp_infrastructure,adopted,135.849,musd,booksocr
2019,deptexp_parks_openspace,adopted,54.045,musd,booksocr
2019,deptexp_planning_climate,adopted,17.548,musd,booksocr
2019,deptexp_public_safety,adopted,59.227,musd,booksocr
2019,revenue_intergovernmental,adopted,17.194,musd,booksocr
2019,revenue_other_unmapped,adopted,91.865,musd,booksocr
2019,revenue_property_tax,adopted,47.656,musd,booksocr
2019,revenue_sales_use_tax,adopted,136.327,musd,booksocr
2019,revenue_total,adopted,359.02,musd,booksocr
2019,revenue_utility,adopted,65.978,musd,booksocr
2020,budget_capital,adopted,80.768,musd,booksocr
2020,budget_general_fund,adopted,161.503,musd,books
2020,budget_general_fund_revenue,adopted,157.395,musd,books
2020,budget_operating,adopted,288.95,musd,booksocr
2020,budget_operating_dedicated,adopted,156.692,musd,booksocr
2020,budget_operating_general,adopted,132.257,musd,booksocr
2020,budget_total,adopted,369.718,musd,books
2020,deptexp_administration,adopted,47.367,musd,books
2020,deptexp_community_services,adopted,32.941,musd,books
2020,deptexp_infrastructure,adopted,157.453,musd,books
2020,deptexp_parks_openspace,adopted,57.059,musd,books
2020,deptexp_planning_climate,adopted,12.58,musd,books
2020,deptexp_public_safety,adopted,62.318,musd,books
2020,revenue_intergovernmental,adopted,8.802,musd,booksocr
2020,revenue_other_unmapped,adopted,94.359,musd,booksocr
2020,revenue_property_tax,adopted,49.969,musd,booksocr
2020,revenue_sales_use_tax,adopted,137.718,musd,booksocr
2020,revenue_total,adopted,360.263,musd,booksocr
2020,revenue_utility,adopted,69.415,musd,booksocr
2020,staffing_fte,restated,1456.86,fte,books
2021,budget_capital,adopted,69.426,musd,booksocr
2021,budget_general_fund,adopted,146.3,musd,books
2021,budget_general_fund_revenue,adopted,147.3,musd,books
2021,budget_operating,adopted,272.318,musd,booksocr
2021,budget_operating_dedicated,adopted,151.642,musd,booksocr
2021,budget_operating_general,adopted,120.676,musd,booksocr
2021,budget_total,adopted,341.744,musd,books
2021,deptexp_administration,adopted,44.401,musd,books
2021,deptexp_community_services,adopted,29.305,musd,books
