year,area_code,area_name,prim_state,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_median,a_median,h_pct10,h_pct25,h_pct75,h_pct90,a_pct10,a_pct25,a_pct75,a_pct90,jobs_1000,loc_quotient,annual,hourly
2013,14500,"Boulder, CO",CO,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,180,16,32.59,67780,5,31.89,66340,17.51,25.73,38.21,51.3,36420,53520,79470,106710,1.109,2.23,,
2013,14500,"Boulder, CO",CO,17-3031,Surveying and Mapping Technicians,detailed,30,31.8,22.63,47070,3.2,21.56,44830,15.86,19.16,25.27,32.69,32980,39850,52570,67990,0.212,0.59,,
2013,14500,"Boulder, CO",CO,19-0000,"Life, Physical, and Social Science Occupations",major,5430,9.1,39.51,82180,4.7,35.9,74680,19.03,25.31,50.86,66.03,39590,52640,105790,137350,33.319,3.89,,
2013,14500,"Boulder, CO",CO,19-1021,Biochemists and Biophysicists,detailed,210,11.3,38.13,79300,8.5,24.83,51650,15.04,19.77,40.25,#,31290,41120,83710,#,1.273,5.8,,
2013,14500,"Boulder, CO",CO,19-1022,Microbiologists,detailed,40,41.1,38.56,80200,6.2,38.94,80990,24.57,26.81,46.6,55.49,51110,55770,96930,115410,0.233,1.55,,
2013,14500,"Boulder, CO",CO,19-1031,Conservation Scientists,detailed,120,35.1,29.26,60850,3.9,29.14,60620,17.24,22.37,34.99,43.09,35860,46520,72790,89630,0.759,5.41,,
2013,14500,"Boulder, CO",CO,19-1042,"Medical Scientists, Except Epidemiologists",detailed,210,18,35.81,74490,10.7,31.98,66530,18.11,22.22,44.82,61.63,37660,46220,93230,128190,1.301,1.65,,
2013,14500,"Boulder, CO",CO,19-2011,Astronomers,detailed,50,0,48.38,100630,3,41.79,86930,22.87,32.8,63.19,78.75,47580,68220,131440,163790,0.327,24.84,,
2013,14500,"Boulder, CO",CO,19-2012,Physicists,detailed,350,1.5,44.02,91570,1.8,36.06,75010,19.95,24.73,63.58,74.76,41490,51430,132240,155490,2.177,16.64,,
2013,14500,"Boulder, CO",CO,19-2021,Atmospheric and Space Scientists,detailed,1540,27.6,45.99,95660,4.2,44.92,93440,28.53,35.68,55.61,67.33,59340,74210,115670,140050,9.443,115.9,,
2013,14500,"Boulder, CO",CO,19-2031,Chemists,detailed,440,21,37.55,78110,7.1,32.03,66620,17.98,21.56,50.04,68.62,37390,44850,104090,142740,2.683,4.06,,
2013,14500,"Boulder, CO",CO,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,830,5.4,39.43,82020,2.9,35.55,73950,23.14,28.39,47.7,64.54,48140,59060,99220,134240,5.111,7.76,,
2013,14500,"Boulder, CO",CO,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,**,**,40.76,84770,9.1,40.41,84060,17.81,24.45,57.94,67.21,37040,50850,120510,139790,**,**,,
2013,14500,"Boulder, CO",CO,19-2043,Hydrologists,detailed,40,49.5,50.22,104470,2.3,49.54,103040,28.78,35.55,56.97,79.47,59870,73940,118500,165300,0.269,5.46,,
2013,14500,"Boulder, CO",CO,19-2099,"Physical Scientists, All Other",detailed,70,1.3,50.41,104840,3.3,54.31,112970,16.16,38.22,67.74,74.76,33610,79500,140900,155490,0.399,2.27,,
2013,14500,"Boulder, CO",CO,19-3011,Economists,detailed,60,33.2,40.95,85180,4.1,40.4,84020,24.57,32.02,50.05,60.99,51110,66600,104110,126850,0.383,2.95,,
2013,14500,"Boulder, CO",CO,19-3031,"Clinical, Counseling, and School Psychologists",detailed,150,15.4,38.43,79920,6.4,34.72,72230,23.38,30.19,48.19,55.4,48630,62800,100240,115230,0.924,1.17,,
2013,14500,"Boulder, CO",CO,19-3051,Urban and Regional Planners,detailed,110,32.3,60.89,126650,12,39.89,82970,24.47,30.57,#,#,50900,63580,#,#,0.66,2.44,,
2013,14500,"Boulder, CO",CO,19-3091,Anthropologists and Archeologists,detailed,**,**,20.26,42130,3.9,20.53,42710,14.01,18.69,22.38,25.3,29150,38870,46560,52630,**,**,,
2013,14500,"Boulder, CO",CO,19-3099,"Social Scientists and Related Workers, All Other",detailed,190,0.6,29.49,61330,1.8,27.37,56930,14.63,19.93,35.21,47.9,30430,41460,73240,99640,1.163,4.92,,
2013,14500,"Boulder, CO",CO,19-4021,Biological Technicians,detailed,50,40.7,25.41,52850,7,25.18,52380,13.82,18.33,32.79,36.48,28740,38130,68200,75870,0.288,0.53,,
