county_fips,year,age_group,age_lo,age_hi,pop
19103,1990,0-4,0,4,6157
19103,1990,5-9,5,9,5807
19103,1990,10-14,10,14,4862
19103,1990,15-17,15,17,2521
19103,1990,18-19,18,19,6237
19103,1990,20-24,20,24,17630
19103,1990,25-29,25,29,10610
19103,1990,30-34,30,34,8920
19103,1990,35-39,35,39,7763
19103,1990,40-44,40,44,6127
19103,1990,45-49,45,49,4118
19103,1990,50-54,50,54,3080
19103,1990,55-59,55,59,2674
19103,1990,60-64,60,64,2475
19103,1990,65-69,65,69,2149
19103,1990,70-74,70,74,1754
19103,1990,75-79,75,79,1325
19103,1990,80-84,80,84,1007
19103,1990,85+,85,999,903
19103,2000,0-4,0,4,6428
19103,2000,5-9,5,9,6231
19103,2000,10-14,10,14,6032
19103,2000,15-17,15,17,3621
19103,2000,18-19,18,19,7312
19103,2000,20-24,20,24,18701
19103,2000,25-29,25,29,10249
19103,2000,30-34,30,34,8233
19103,2000,35-39,35,39,7832
19103,2000,40-44,40,44,7853
19103,2000,45-49,45,49,7494
19103,2000,50-54,50,54,6024
19103,2000,55-59,55,59,3952
19103,2000,60-64,60,64,2779
19103,2000,65-69,65,69,2300
19103,2000,70-74,70,74,2038
19103,2000,75-79,75,79,1636
19103,2000,80-84,80,84,1190
19103,2000,85+,85,999,1101
19103,2010,0-4,0,4,8075
19103,2010,5-9,5,9,7286
19103,2010,10-14,10,14,6713
19103,2010,15-17,15,17,3844
19103,2010,18-19,18,19,7076
19103,2010,20-24,20,24,21052
19103,2010,25-29,25,29,12990
19103,2010,30-34,30,34,9506
19103,2010,35-39,35,39,7616
19103,2010,40-44,40,44,7340
19103,2010,45-49,45,49,7448
19103,2010,50-54,50,54,7680
19103,2010,55-59,55,59,7329
19103,2010,60-64,60,64,5716
19103,2010,65-69,65,69,3618
19103,2010,70-74,70,74,2517
19103,2010,75-79,75,79,1942
19103,2010,80-84,80,84,1535
19103,2010,85+,85,999,1599
19103,2020,0-4,0,4,8638
19103,2020,5-9,5,9,8816
19103,2020,10-14,10,14,8439
19103,2020,15-17,15,17,4877
19103,2020,18-19,18,19,5564
19103,2020,20-24,20,24,23496
19103,2020,25-29,25,29,13575
19103,2020,30-34,30,34,11224
19103,2020,35-39,35,39,10164
19103,2020,40-44,40,44,8789
19103,2020,45-49,45,49,7482
19103,2020,50-54,50,54,7408
19103,2020,55-59,55,59,7430
19103,2020,60-64,60,64,7623
19103,2020,65-69,65,69,6873
19103,2020,70-74,70,74,5271
19103,2020,75-79,75,79,3147
19103,2020,80-84,80,84,2018
19103,2020,85+,85,999,2020
22033,1990,0-4,0,4,29225
22033,1990,5-9,5,9,30895
22033,1990,10-14,10,14,28245
22033,1990,15-17,15,17,16216
22033,1990,18-19,18,19,16013
22033,1990,20-24,20,24,36887
22033,1990,25-29,25,29,33154
22033,1990,30-34,30,34,33504
22033,1990,35-39,35,39,31305
22033,1990,40-44,40,44,26922
22033,1990,45-49,45,49,20013
22033,1990,50-54,50,54,15656
22033,1990,55-59,55,59,13713
22033,1990,60-64,60,64,13472
