place_fips,year,age_group,age_lo,age_hi,pop
2603000,1990,40-44,40,44,7238
2603000,1990,45-49,45,49,4972
2603000,1990,50-54,50,54,3410
2603000,1990,55-59,55,59,3058
2603000,1990,60-64,60,64,2769
2603000,1990,65-69,65,69,2508
2603000,1990,70-74,70,74,1851
2603000,1990,75-79,75,79,1514
2603000,1990,80-84,80,84,1018
2603000,1990,85+,85,999,990
2603000,2000,0-4,0,4,5744
2603000,2000,5-9,5,9,5205
2603000,2000,10-14,10,14,5129
2603000,2000,15-17,15,17,3031
2603000,2000,18-19,18,19,9617
2603000,2000,20-24,20,24,20918
2603000,2000,25-29,25,29,11599
2603000,2000,30-34,30,34,9224
2603000,2000,35-39,35,39,7750
2603000,2000,40-44,40,44,7021
2603000,2000,45-49,45,49,6945
2603000,2000,50-54,50,54,5937
2603000,2000,55-59,55,59,4065
2603000,2000,60-64,60,64,2822
2603000,2000,65-69,65,69,2450
2603000,2000,70-74,70,74,2233
2603000,2000,75-79,75,79,1920
2603000,2000,80-84,80,84,1257
2603000,2000,85+,85,999,1157
2603000,2010,0-4,0,4,4868
2603000,2010,5-9,5,9,4531
2603000,2010,10-14,10,14,4284
2603000,2010,15-17,15,17,2699
2603000,2010,18-19,18,19,10447
2603000,2010,20-24,20,24,23091
2603000,2010,25-29,25,29,12112
2603000,2010,30-34,30,34,8166
2603000,2010,35-39,35,39,5888
2603000,2010,40-44,40,44,5466
2603000,2010,45-49,45,49,5669
2603000,2010,50-54,50,54,5650
2603000,2010,55-59,55,59,5667
2603000,2010,60-64,60,64,4784
2603000,2010,65-69,65,69,3280
2603000,2010,70-74,70,74,2176
2603000,2010,75-79,75,79,1906
2603000,2010,80-84,80,84,1633
2603000,2010,85+,85,999,1617
2603000,2020,0-4,0,4,4866
2603000,2020,5-9,5,9,4655
2603000,2020,10-14,10,14,4253
2603000,2020,15-17,15,17,3075
2603000,2020,18-19,18,19,7259
2603000,2020,20-24,20,24,28963
2603000,2020,25-29,25,29,14194
2603000,2020,30-34,30,34,9334
2603000,2020,35-39,35,39,6730
2603000,2020,40-44,40,44,5244
2603000,2020,45-49,45,49,4809
2603000,2020,50-54,50,54,4874
2603000,2020,55-59,55,59,5022
2603000,2020,60-64,60,64,4920
2603000,2020,65-69,65,69,4987
2603000,2020,70-74,70,74,4123
2603000,2020,75-79,75,79,2756
2603000,2020,80-84,80,84,1736
2603000,2020,85+,85,999,2051
2754880,1990,0-4,0,4,6129
2754880,1990,5-9,5,9,5496
2754880,1990,10-14,10,14,4454
2754880,1990,15-17,15,17,2304
2754880,1990,18-19,18,19,1838
2754880,1990,20-24,20,24,5151
2754880,1990,25-29,25,29,7594
2754880,1990,30-34,30,34,7775
2754880,1990,35-39,35,39,5980
2754880,1990,40-44,40,44,4706
2754880,1990,45-49,45,49,3675
2754880,1990,50-54,50,54,3015
2754880,1990,55-59,55,59,2607
2754880,1990,60-64,60,64,2271
2754880,1990,65-69,65,69,2083
2754880,1990,70-74,70,74,1762
2754880,1990,75-79,75,79,1512
2754880,1990,80-84,80,84,1155
2754880,1990,85+,85,999,1238
2754880,2000,0-4,0,4,6401
2754880,2000,5-9,5,9,5939
2754880,2000,10-14,10,14,6195
2754880,2000,15-17,15,17,3577
2754880,2000,18-19,18,19,2065
2754880,2000,20-24,20,24,5765
2754880,2000,25-29,25,29,6932
2754880,2000,30-34,30,34,6959
2754880,2000,35-39,35,39,7448
2754880,2000,40-44,40,44,7286
2754880,2000,45-49,45,49,5913
2754880,2000,50-54,50,54,4841
2754880,2000,55-59,55,59,3675
2754880,2000,60-64,60,64,2959
2754880,2000,65-69,65,69,2488
2754880,2000,70-74,70,74,2198
2754880,2000,75-79,75,79,1985
2754880,2000,80-84,80,84,1558
2754880,2000,85+,85,999,1622
2754880,2010,0-4,0,4,8433
2754880,2010,5-9,5,9,7585
2754880,2010,10-14,10,14,6590
2754880,2010,15-17,15,17,3862
2754880,2010,18-19,18,19,2236
2754880,2010,20-24,20,24,6609
2754880,2010,25-29,25,29,9527
2754880,2010,30-34,30,34,8553
2754880,2010,35-39,35,39,6867
2754880,2010,40-44,40,44,6558
2754880,2010,45-49,45,49,7471
2754880,2010,50-54,50,54,7636
2754880,2010,55-59,55,59,6355
2754880,2010,60-64,60,64,4880
2754880,2010,65-69,65,69,3783
2754880,2010,70-74,70,74,2990
2754880,2010,75-79,75,79,2445
2754880,2010,80-84,80,84,2093
2754880,2010,85+,85,999,2296
2754880,2020,0-4,0,4,7876
2754880,2020,5-9,5,9,7722
2754880,2020,10-14,10,14,7747
2754880,2020,15-17,15,17,4509
2754880,2020,18-19,18,19,2584
2754880,2020,20-24,20,24,8041
2754880,2020,25-29,25,29,10156
2754880,2020,30-34,30,34,10039
2754880,2020,35-39,35,39,8897
2754880,2020,40-44,40,44,7373
2754880,2020,45-49,45,49,6331
2754880,2020,50-54,50,54,6468
2754880,2020,55-59,55,59,7200
2754880,2020,60-64,60,64,7260
2754880,2020,65-69,65,69,5839
2754880,2020,70-74,70,74,4521
2754880,2020,75-79,75,79,3461
2754880,2020,80-84,80,84,2549
2754880,2020,85+,85,999,2822
3673000,1990,0-4,0,4,12757
3673000,1990,5-9,5,9,10537
3673000,1990,10-14,10,14,8908
3673000,1990,15-17,15,17,4878
3673000,1990,18-19,18,19,8756
3673000,1990,20-24,20,24,20108
3673000,1990,25-29,25,29,16141
3673000,1990,30-34,30,34,13822
3673000,1990,35-39,35,39,10996
3673000,1990,40-44,40,44,8917
3673000,1990,45-49,45,49,6523
3673000,1990,50-54,50,54,5493
3673000,1990,55-59,55,59,5512
3673000,1990,60-64,60,64,6118
3673000,1990,65-69,65,69,6539
3673000,1990,70-74,70,74,5902
3673000,1990,75-79,75,79,4947
3673000,1990,80-84,80,84,3679
3673000,1990,85+,85,999,3327
3673000,2000,0-4,0,4,10209
3673000,2000,5-9,5,9,10929
3673000,2000,10-14,10,14,10129
3673000,2000,15-17,15,17,5518
3673000,2000,18-19,18,19,7838
3673000,2000,20-24,20,24,16874
3673000,2000,25-29,25,29,11126
3673000,2000,30-34,30,34,10223
3673000,2000,35-39,35,39,10078
3673000,2000,40-44,40,44,9717
3673000,2000,45-49,45,49,8747
3673000,2000,50-54,50,54,7387
3673000,2000,55-59,55,59,5358
3673000,2000,60-64,60,64,4225
3673000,2000,65-69,65,69,4164
3673000,2000,70-74,70,74,4343
3673000,2000,75-79,75,79,4183
3673000,2000,80-84,80,84,3344
3673000,2000,85+,85,999,2914
3673000,2010,0-4,0,4,10217
3673000,2010,5-9,5,9,8998
3673000,2010,10-14,10,14,8480
3673000,2010,15-17,15,17,5738
3673000,2010,18-19,18,19,8469
3673000,2010,20-24,20,24,19237
3673000,2010,25-29,25,29,12256
3673000,2010,30-34,30,34,9289
3673000,2010,35-39,35,39,7671
3673000,2010,40-44,40,44,7933
3673000,2010,45-49,45,49,8760
3673000,2010,50-54,50,54,8734
3673000,2010,55-59,55,59,7873
3673000,2010,60-64,60,64,6175
3673000,2010,65-69,65,69,4179
3673000,2010,70-74,70,74,2971
