countyfips,year,age,totalpopulation
13,1997,24,4273
13,1997,25,4448
13,1997,26,4293
13,1997,27,4439
13,1997,28,4579
13,1997,29,4790
13,1997,30,4950
13,1997,31,4464
13,1997,32,4436
13,1997,33,4451
13,1997,34,4428
13,1997,35,4716
13,1997,36,4667
13,1997,37,4842
13,1997,38,4722
13,1997,39,4850
13,1997,40,4968
13,1997,41,4747
13,1997,42,4878
13,1997,43,4788
13,1997,44,4389
13,1997,45,4428
13,1997,46,4089
13,1997,47,4222
13,1997,48,3914
13,1997,49,3646
13,1997,50,3660
13,1997,51,3384
13,1997,52,3341
13,1997,53,3241
13,1997,54,2524
13,1997,55,2459
13,1997,56,2300
13,1997,57,2193
13,1997,58,1940
13,1997,59,1855
13,1997,60,1711
13,1997,61,1598
13,1997,62,1557
13,1997,63,1434
13,1997,64,1424
13,1997,65,1377
13,1997,66,1245
13,1997,67,1235
13,1997,68,1213
13,1997,69,1119
13,1997,70,1103
13,1997,71,1011
13,1997,72,1019
13,1997,73,960
13,1997,74,911
13,1997,75,878
13,1997,76,842
13,1997,77,817
13,1997,78,788
13,1997,79,713
13,1997,80,657
13,1997,81,635
13,1997,82,564
13,1997,83,484
13,1997,84,467
13,1997,85,430
13,1997,86,376
13,1997,87,326
13,1997,88,267
13,1997,89,257
13,1997,90,897
13,1998,0,3386
13,1998,1,3422
13,1998,2,3379
13,1998,3,3368
13,1998,4,3463
13,1998,5,3436
13,1998,6,3420
13,1998,7,3626
13,1998,8,3618
13,1998,9,3715
13,1998,10,3700
13,1998,11,3631
13,1998,12,3493
13,1998,13,3524
13,1998,14,3594
13,1998,15,3456
13,1998,16,3347
13,1998,17,3392
13,1998,18,4691
13,1998,19,6173
13,1998,20,5992
13,1998,21,5802
13,1998,22,5487
13,1998,23,4762
13,1998,24,4407
13,1998,25,4582
13,1998,26,4360
13,1998,27,4508
13,1998,28,4675
13,1998,29,4842
13,1998,30,5013
13,1998,31,4467
13,1998,32,4410
13,1998,33,4432
13,1998,34,4386
13,1998,35,4742
13,1998,36,4696
13,1998,37,4890
13,1998,38,4809
13,1998,39,4953
13,1998,40,5109
13,1998,41,4883
13,1998,42,5041
13,1998,43,4944
13,1998,44,4643
13,1998,45,4695
13,1998,46,4318
13,1998,47,4466
13,1998,48,4203
13,1998,49,3893
13,1998,50,3928
13,1998,51,3619
13,1998,52,3590
13,1998,53,3506
13,1998,54,2666
13,1998,55,2592
13,1998,56,2445
13,1998,57,2321
13,1998,58,2029
13,1998,59,1934
13,1998,60,1777
13,1998,61,1656
13,1998,62,1612
13,1998,63,1473
13,1998,64,1469
13,1998,65,1414
13,1998,66,1268
13,1998,67,1265
13,1998,68,1243
13,1998,69,1145
13,1998,70,1140
13,1998,71,1031
13,1998,72,1050
13,1998,73,994
13,1998,74,946
13,1998,75,908
13,1998,76,872
13,1998,77,847
13,1998,78,818
13,1998,79,735
13,1998,80,681
13,1998,81,662
13,1998,82,588
13,1998,83,499
13,1998,84,491
13,1998,85,443
13,1998,86,391
13,1998,87,339
13,1998,88,281
13,1998,89,269
13,1998,90,940
13,1999,0,3442
13,1999,1,3493
13,1999,2,3443
13,1999,3,3430
13,1999,4,3520
13,1999,5,3512
13,1999,6,3503
13,1999,7,3739
13,1999,8,3758
13,1999,9,3843
13,1999,10,3860
13,1999,11,3800
13,1999,12,3657
13,1999,13,3703
13,1999,14,3790
13,1999,15,3634
13,1999,16,3515
13,1999,17,3538
13,1999,18,4825
13,1999,19,6325
13,1999,20,6086
13,1999,21,5892
13,1999,22,5662
13,1999,23,4938
13,1999,24,4569
13,1999,25,4743
13,1999,26,4452
13,1999,27,4600
13,1999,28,4799
13,1999,29,4918
13,1999,30,5103
13,1999,31,4492
13,1999,32,4402
13,1999,33,4431
13,1999,34,4359
13,1999,35,4789
13,1999,36,4749
13,1999,37,4962
13,1999,38,4924
13,1999,39,5083
13,1999,40,5283
13,1999,41,5049
13,1999,42,5238
13,1999,43,5132
13,1999,44,4934
13,1999,45,5000
13,1999,46,4584
13,1999,47,4745
13,1999,48,4529
13,1999,49,4174
13,1999,50,4233
13,1999,51,3887
13,1999,52,3873
13,1999,53,3803
