area_code,year,age_group_id,household_type_id,total_households
13,2033,3,4,11492
13,2033,4,4,1679
13,2034,0,0,143538
13,2034,1,0,9218
13,2034,2,0,40959
13,2034,3,0,47598
13,2034,4,0,45763
13,2034,0,1,41448
13,2034,1,1,1871
13,2034,2,1,8095
13,2034,3,1,12113
13,2034,4,1,19368
13,2034,0,2,5371
13,2034,1,2,274
13,2034,2,2,3069
13,2034,3,2,1827
13,2034,4,2,201
13,2034,0,3,64597
13,2034,1,3,6023
13,2034,2,3,11850
13,2034,3,3,22238
13,2034,4,3,24485
13,2034,0,4,32123
13,2034,1,4,1050
13,2034,2,4,17945
13,2034,3,4,11419
13,2034,4,4,1709
13,2035,0,0,144288
13,2035,1,0,8851
13,2035,2,0,41588
13,2035,3,0,46850
13,2035,4,0,46999
13,2035,0,1,41796
13,2035,1,1,1764
13,2035,2,1,8218
13,2035,3,1,11923
13,2035,4,1,19891
13,2035,0,2,5378
13,2035,1,2,258
13,2035,2,2,3115
13,2035,3,2,1798
13,2035,4,2,206
13,2035,0,3,64931
13,2035,1,3,5839
13,2035,2,3,12057
13,2035,3,3,21889
13,2035,4,3,25147
13,2035,0,4,32183
13,2035,1,4,990
13,2035,2,4,18199
13,2035,3,4,11240
13,2035,4,4,1755
13,2036,0,0,144984
13,2036,1,0,8540
13,2036,2,0,41792
13,2036,3,0,46798
13,2036,4,0,47853
13,2036,0,1,42088
13,2036,1,1,1670
13,2036,2,1,8256
13,2036,3,1,11910
13,2036,4,1,20252
13,2036,0,2,5381
13,2036,1,2,244
13,2036,2,2,3130
13,2036,3,2,1796
13,2036,4,2,210
13,2036,0,3,65298
13,2036,1,3,5689
13,2036,2,3,12140
13,2036,3,3,21865
13,2036,4,3,25604
13,2036,0,4,32218
13,2036,1,4,937
13,2036,2,4,18266
13,2036,3,4,11227
13,2036,4,4,1787
13,2037,0,0,145599
13,2037,1,0,8246
13,2037,2,0,42040
13,2037,3,0,46674
13,2037,4,0,48639
13,2037,0,1,42346
13,2037,1,1,1580
13,2037,2,1,8303
13,2037,3,1,11878
13,2037,4,1,20585
13,2037,0,2,5384
13,2037,1,2,231
13,2037,2,2,3148
13,2037,3,2,1792
13,2037,4,2,214
13,2037,0,3,65615
