age_group,age_lo,age_hi,ssp,year,pop
30-34,30,34,3,2050,20636263.037169594
35-39,35,39,3,2050,21311453.209703647
40-44,40,44,3,2050,23613318.436670948
45-49,45,49,3,2050,22466079.17005853
50-54,50,54,3,2050,21103307.462794986
55-59,55,59,3,2050,22524342.765747067
60-64,60,64,3,2050,22163371.603878018
65-69,65,69,3,2050,20617969.409054507
70-74,70,74,3,2050,16698199.62969453
75-79,75,79,3,2050,14565545.033544056
80-84,80,84,3,2050,11523239.220247315
85+,85,999,3,2050,15391243.913277674
0-4,0,4,3,2055,14294342.23946593
5-9,5,9,3,2055,15130264.889821652
10-14,10,14,3,2055,16169890.88064532
15-19,15,19,3,2055,16880807.846704625
20-24,20,24,3,2055,17153908.759400472
25-29,25,29,3,2055,17900688.369245805
30-34,30,34,3,2055,19679334.948705792
35-39,35,39,3,2055,20943488.49635211
40-44,40,44,3,2055,21468896.318931587
45-49,45,49,3,2055,23569567.001540385
50-54,50,54,3,2055,22266037.751838204
55-59,55,59,3,2055,20747612.316138472
60-64,60,64,3,2055,21886468.815746255
65-69,65,69,3,2055,21153951.287772585
70-74,70,74,3,2055,19134252.601349887
75-79,75,79,3,2055,14719289.24698158
80-84,80,84,3,2055,11782018.725676356
85+,85,999,3,2055,15514966.833423981
0-4,0,4,3,2060,13661463.169667661
5-9,5,9,3,2060,14414852.641450029
10-14,10,14,3,2060,15216686.272290798
15-19,15,19,3,2060,16207179.696183518
20-24,20,24,3,2060,16914029.308468733
25-29,25,29,3,2060,17695266.6855416
30-34,30,34,3,2060,18351519.98116304
35-39,35,39,3,2060,19964119.698909163
40-44,40,44,3,2060,21101103.609108392
45-49,45,49,3,2060,21478044.875660155
50-54,50,54,3,2060,23382745.639237184
55-59,55,59,3,2060,21921162.840363715
60-64,60,64,3,2060,20215434.58642922
65-69,65,69,3,2060,20961392.415019862
70-74,70,74,3,2060,19727631.334642675
75-79,75,79,3,2060,16980317.82752139
80-84,80,84,3,2060,12038491.581331138
85+,85,999,3,2060,15850787.27518729
0-4,0,4,3,2065,13166636.81753498
5-9,5,9,3,2065,13757263.33420178
10-14,10,14,3,2065,14486000.930492831
15-19,15,19,3,2065,15246999.661418475
20-24,20,24,3,2065,16233488.215317592
25-29,25,29,3,2065,17380933.543990534
30-34,30,34,3,2065,18084440.96838547
35-39,35,39,3,2065,18590233.49277482
40-44,40,44,3,2065,20097204.96231547
45-49,45,49,3,2065,21105026.59905082
50-54,50,54,3,2065,21325277.43604533
55-59,55,59,3,2065,23038038.28706409
60-64,60,64,3,2065,21393213.723978125
65-69,65,69,3,2065,19416751.764310542
70-74,70,74,3,2065,19630855.94101362
75-79,75,79,3,2065,17626084.45647504
80-84,80,84,3,2065,14022632.788467122
85+,85,999,3,2065,16508469.334130522
0-4,0,4,3,2070,12755452.285017079
5-9,5,9,3,2070,13242595.460137466
10-14,10,14,3,2070,13814343.703019863
15-19,15,19,3,2070,14509347.931544827
20-24,20,24,3,2070,15266495.819015797
25-29,25,29,3,2070,16624783.828723699
30-34,30,34,3,2070,17706448.223106243
35-39,35,39,3,2070,18285036.772968087
40-44,40,44,3,2070,18696826.186357517
45-49,45,49,3,2070,20093076.64675338
50-54,50,54,3,2070,20959949.485786773
55-59,55,59,3,2070,21033113.01165391
60-64,60,64,3,2070,22513505.80628994
65-69,65,69,3,2070,20597380.0327759
70-74,70,74,3,2070,18252973.606054205
75-79,75,79,3,2070,17645468.00028906
80-84,80,84,3,2070,14692642.673268009
85+,85,999,3,2070,18598134.176100884
0-4,0,4,3,2075,12256661.261054358
5-9,5,9,3,2075,12813991.916580532
10-14,10,14,3,2075,13287183.550150638
15-19,15,19,3,2075,13830590.586728793
20-24,20,24,3,2075,14521267.925429534
25-29,25,29,3,2075,15582833.558585262
30-34,30,34,3,2075,16886964.470201723
35-39,35,39,3,2075,17867028.584375832
40-44,40,44,3,2075,18367240.071574915
45-49,45,49,3,2075,18685124.811824333
50-54,50,54,3,2075,19958871.72127004
55-59,55,59,3,2075,20689623.960960675
60-64,60,64,3,2075,20588161.368504155
65-69,65,69,3,2075,21729006.223322827
70-74,70,74,3,2075,19435903.942913342
75-79,75,79,3,2075,16507475.3003271
80-84,80,84,3,2075,14848142.544462297
85+,85,999,3,2075,20612504.70402965
0-4,0,4,3,2080,11633204.676484905
5-9,5,9,3,2080,12298802.585039647
10-14,10,14,3,2080,12847521.961697835
15-19,15,19,3,2080,13297223.029912114
20-24,20,24,3,2080,13834508.183143167
25-29,25,29,3,2080,14761074.680143828
30-34,30,34,3,2080,15782308.643010799
35-39,35,39,3,2080,17007027.869536288
40-44,40,44,3,2080,17922868.571683217
45-49,45,49,3,2080,18343265.52528163
50-54,50,54,3,2080,18561968.08307945
55-59,55,59,3,2080,19714480.415919203
60-64,60,64,3,2080,20278983.88700873
65-69,65,69,3,2080,19916590.933955498
70-74,70,74,3,2080,20571492.252664365
75-79,75,79,3,2080,17671541.886832755
80-84,80,84,3,2080,14008622.125051951
85+,85,999,3,2080,22097664.260395985
0-4,0,4,3,2085,10983313.43830045
5-9,5,9,3,2085,11659844.284961266
10-14,10,14,3,2085,12321604.038745893
15-19,15,19,3,2085,12851848.540351123
20-24,20,24,3,2085,13293812.598127646
25-29,25,29,3,2085,13999297.89885426
30-34,30,34,3,2085,14897763.894069325
35-39,35,39,3,2085,15862446.911562836
40-44,40,44,3,2085,17037082.10114935
45-49,45,49,3,2085,17886472.504571706
50-54,50,54,3,2085,18222377.957897834
55-59,55,59,3,2085,18347374.346911874
60-64,60,64,3,2085,19349788.622124467
65-69,65,69,3,2085,19663233.27507947
70-74,70,74,3,2085,18923836.694242947
75-79,75,79,3,2085,18812375.203578744
80-84,80,84,3,2085,15130067.8004296
85+,85,999,3,2085,22463461.46540303
0-4,0,4,3,2090,10388227.99612508
5-9,5,9,3,2090,10994974.386535194
10-14,10,14,3,2090,11672177.035341594
15-19,15,19,3,2090,12320443.049589472
20-24,20,24,3,2090,12841549.987679051
25-29,25,29,3,2090,13390634.856414352
30-34,30,34,3,2090,14075625.701820565
35-39,35,39,3,2090,14937471.687290281
40-44,40,44,3,2090,15866490.844563069
45-49,45,49,3,2090,16988363.040093992
50-54,50,54,3,2090,17765829.66704215
55-59,55,59,3,2090,18019757.327779915
60-64,60,64,3,2090,18028034.178071234
65-69,65,69,3,2090,18799996.94677797
70-74,70,74,3,2090,18742549.91122794
75-79,75,79,3,2090,17395645.94352871
80-84,80,84,3,2090,16240028.731129732
85+,85,999,3,2090,23739490.350358643
0-4,0,4,3,2095,9868633.28138401
5-9,5,9,3,2095,10386922.012786781
10-14,10,14,3,2095,10997756.065880667
15-19,15,19,3,2095,11665874.094404997
20-24,20,24,3,2095,12303603.539500901
25-29,25,29,3,2095,12875085.413362242
30-34,30,34,3,2095,13412253.457021926
35-39,35,39,3,2095,14076840.083074158
40-44,40,44,3,2095,14915050.415456798
45-49,45,49,3,2095,15806240.195277885
50-54,50,54,3,2095,16870233.80705812
55-59,55,59,3,2095,17575011.359758098
60-64,60,64,3,2095,17724108.534619562
65-69,65,69,3,2095,17549345.7531496
70-74,70,74,3,2095,17974298.18940321
75-79,75,79,3,2095,17314937.43729205
80-84,80,84,3,2095,15135367.236985875
85+,85,999,3,2095,25742890.297542498
0-4,0,4,3,2100,9395197.989403045
5-9,5,9,3,2100,9855746.374081481
10-14,10,14,3,2100,10380946.597932477
15-19,15,19,3,2100,10986694.547998296
20-24,20,24,3,2100,11642868.894707097
25-29,25,29,3,2100,12276281.024203928
30-34,30,34,3,2100,12846321.41451624
35-39,35,39,3,2100,13378360.561664876
40-44,40,44,3,2100,14029594.685039308
45-49,45,49,3,2100,14842295.170066835
50-54,50,54,3,2100,15691810.261695677
55-59,55,59,3,2100,16694647.882013101
60-64,60,64,3,2100,17303282.931684405
65-69,65,69,3,2100,17285031.586363804
70-74,70,74,3,2100,16827741.761507962
75-79,75,79,3,2100,16684836.547542306
80-84,80,84,3,2100,15179664.595777167
85+,85,999,3,2100,26448500.47966559
0-4,0,4,4,2020,19811326.050497487
5-9,5,9,4,2020,19967103.71491055
10-14,10,14,4,2020,22317352.637817547
15-19,15,19,4,2020,21226590.233647835
20-24,20,24,4,2020,20021359.239465605
25-29,25,29,4,2020,22979736.68983242
30-34,30,34,4,2020,24007145.587753493
35-39,35,39,4,2020,23675941.83795928
40-44,40,44,4,2020,20779410.87755328
45-49,45,49,4,2020,20742314.362024933
50-54,50,54,4,2020,20427021.254604407
55-59,55,59,4,2020,22175432.477249894
60-64,60,64,4,2020,20961001.379877347
65-69,65,69,4,2020,17676164.26273692
70-74,70,74,4,2020,14326450.395309338
75-79,75,79,4,2020,9605267.348821199
80-84,80,84,4,2020,6102424.11537032
85+,85,999,4,2020,6808388.740097461
0-4,0,4,4,2025,19597080.650715247
5-9,5,9,4,2025,20216464.402820777
10-14,10,14,4,2025,20224768.143618878
15-19,15,19,4,2025,22433118.21960022
20-24,20,24,4,2025,21341982.21089058
25-29,25,29,4,2025,21230217.45309712
30-34,30,34,4,2025,24032137.5045788
35-39,35,39,4,2025,24653844.287911598
40-44,40,44,4,2025,24003298.547136184
45-49,45,49,4,2025,20881961.224515386
50-54,50,54,4,2025,20619074.817331966
55-59,55,59,4,2025,20084251.85704844
60-64,60,64,4,2025,21490579.845313873
65-69,65,69,4,2025,19909330.521998648
70-74,70,74,4,2025,16293571.63235585
75-79,75,79,4,2025,12490773.992509069
80-84,80,84,4,2025,7634144.02207091
85+,85,999,4,2025,7299561.911439873
0-4,0,4,4,2030,18842297.153885607
5-9,5,9,4,2030,19965350.002957825
10-14,10,14,4,2030,20460284.08088517
15-19,15,19,4,2030,20351623.414096
20-24,20,24,4,2030,22555944.56489593
25-29,25,29,4,2030,22551714.757437002
30-34,30,34,4,2030,22322760.370859735
35-39,35,39,4,2030,24670432.95048389
40-44,40,44,4,2030,25023366.635770045
45-49,45,49,4,2030,24105142.86039898
50-54,50,54,4,2030,20802427.136769604
55-59,55,59,4,2030,20326742.33153984
60-64,60,64,4,2030,19550899.411186934
65-69,65,69,4,2030,20509461.65320965
70-74,70,74,4,2030,18460825.014406208
75-79,75,79,4,2030,14342954.937788086
80-84,80,84,4,2030,10084270.295026444
85+,85,999,4,2030,8813329.63230432
0-4,0,4,4,2035,18889202.130177535
5-9,5,9,4,2035,19179141.879859235
10-14,10,14,4,2035,20191459.636525977
15-19,15,19,4,2035,20582105.498350408
20-24,20,24,4,2035,20490287.128876764
25-29,25,29,4,2035,23808718.04301391
30-34,30,34,4,2035,23608553.05068765
35-39,35,39,4,2035,23007834.01165428
40-44,40,44,4,2035,25046408.868405715
45-49,45,49,4,2035,25162904.449420143
50-54,50,54,4,2035,24021439.392628282
55-59,55,59,4,2035,20563799.693616334
60-64,60,64,4,2035,19858079.94183996
65-69,65,69,4,2035,18761843.7714891
70-74,70,74,4,2035,19142226.692743726
75-79,75,79,4,2035,16400878.209277693
80-84,80,84,4,2035,11749214.353852002
85+,85,999,4,2035,11605842.951978166
0-4,0,4,4,2040,18798942.8487168
5-9,5,9,4,2040,19209656.946342733
10-14,10,14,4,2040,19389078.22338972
15-19,15,19,4,2040,20306114.448653724
20-24,20,24,4,2040,20722794.091657486
25-29,25,29,4,2040,21756957.06785085
30-34,30,34,4,2040,24890958.531762626
35-39,35,39,4,2040,24267870.683400117
40-44,40,44,4,2040,23424865.49673311
45-49,45,49,4,2040,25203464.881558646
50-54,50,54,4,2040,25112055.941144876
55-59,55,59,4,2040,23767905.41477052
60-64,60,64,4,2040,20153492.97311446
65-69,65,69,4,2040,19137641.218504068
70-74,70,74,4,2040,17621673.581225403
