place_fips,year,size_class,months_reported,buildings,units
0656000,2013,3-4 units,12,1,4
0656000,2013,5+ units,12,1,50
0656000,2014,1-unit,12,15,15
0656000,2014,2-units,12,0,0
0656000,2014,3-4 units,12,0,0
0656000,2014,5+ units,12,11,669
0656000,2015,1-unit,12,26,26
0656000,2015,2-units,12,3,6
0656000,2015,3-4 units,12,3,11
0656000,2015,5+ units,12,20,467
0656000,2016,1-unit,12,33,33
0656000,2016,2-units,12,0,0
0656000,2016,3-4 units,12,1,4
0656000,2016,5+ units,12,15,373
0656000,2017,1-unit,12,30,30
0656000,2017,2-units,12,3,6
0656000,2017,3-4 units,12,2,8
0656000,2017,5+ units,12,3,127
0656000,2018,1-unit,12,31,31
0656000,2018,2-units,12,0,0
0656000,2018,3-4 units,12,1,3
0656000,2018,5+ units,12,9,490
0656000,2019,1-unit,12,35,35
0656000,2019,2-units,12,3,6
0656000,2019,3-4 units,12,2,8
0656000,2019,5+ units,12,13,203
0656000,2020,1-unit,10,23,23
0656000,2020,2-units,10,3,6
0656000,2020,3-4 units,10,0,0
0656000,2020,5+ units,10,9,307
0656000,2021,1-unit,12,46,46
0656000,2021,2-units,12,0,0
0656000,2021,3-4 units,12,0,0
0656000,2021,5+ units,12,3,284
0656000,2022,1-unit,12,51,51
0656000,2022,2-units,12,2,4
0656000,2022,3-4 units,12,0,0
0656000,2022,5+ units,12,3,41
0656000,2023,1-unit,12,55,55
0656000,2023,2-units,12,1,2
0656000,2023,3-4 units,12,0,0
0656000,2023,5+ units,12,0,0
0656000,2024,1-unit,12,96,96
0656000,2024,2-units,12,2,4
0656000,2024,3-4 units,12,0,0
0656000,2024,5+ units,12,1,49
0656000,2025,1-unit,12,99,99
0656000,2025,2-units,12,2,4
0656000,2025,3-4 units,12,0,0
0656000,2025,5+ units,12,7,325
0669070,2010,1-unit,0,18,18
0669070,2010,2-units,0,1,2
0669070,2010,3-4 units,0,1,3
0669070,2010,5+ units,0,1,16
0669070,2011,1-unit,0,15,15
0669070,2011,2-units,0,2,4
0669070,2011,3-4 units,0,2,6
0669070,2011,5+ units,0,1,20
0669070,2012,1-unit,12,10,10
0669070,2012,2-units,12,0,0
0669070,2012,3-4 units,12,0,0
0669070,2012,5+ units,12,2,43
0669070,2013,1-unit,12,25,25
0669070,2013,2-units,12,1,2
0669070,2013,3-4 units,12,0,0
0669070,2013,5+ units,12,1,19
0669070,2014,1-unit,12,7,7
0669070,2014,2-units,12,4,8
0669070,2014,3-4 units,12,2,6
0669070,2014,5+ units,12,2,98
0669070,2015,1-unit,12,30,30
0669070,2015,2-units,12,6,12
0669070,2015,3-4 units,12,1,3
0669070,2015,5+ units,12,3,135
0669070,2016,1-unit,12,138,138
0669070,2016,2-units,12,0,0
0669070,2016,3-4 units,12,0,0
0669070,2016,5+ units,12,3,48
0669070,2017,1-unit,0,146,146
0669070,2017,2-units,0,0,0
0669070,2017,3-4 units,0,0,0
0669070,2017,5+ units,0,4,59
0669070,2018,1-unit,12,121,121
0669070,2018,2-units,12,57,114
0669070,2018,3-4 units,12,2,7
0669070,2018,5+ units,12,3,58
0669070,2019,1-unit,12,13,13
0669070,2019,2-units,12,1,2
0669070,2019,3-4 units,12,1,4
0669070,2019,5+ units,12,4,95
0669070,2020,1-unit,0,14,14
0669070,2020,2-units,0,1,2
0669070,2020,3-4 units,0,1,4
0669070,2020,5+ units,0,1,98
0669070,2021,1-unit,12,156,156
0669070,2021,2-units,12,11,22
0669070,2021,3-4 units,12,2,7
0669070,2021,5+ units,12,1,44
0669070,2022,1-unit,12,67,67
0669070,2022,2-units,12,0,0
0669070,2022,3-4 units,12,0,0
0669070,2022,5+ units,12,0,0
0669070,2023,1-unit,12,16,16
0669070,2023,2-units,12,0,0
0669070,2023,3-4 units,12,0,0
0669070,2023,5+ units,12,3,65
0669070,2024,1-unit,12,16,16
0669070,2024,2-units,12,1,2
0669070,2024,3-4 units,12,0,0
0669070,2024,5+ units,12,1,36
0669070,2025,1-unit,12,30,30
0669070,2025,2-units,12,0,0
0669070,2025,3-4 units,12,0,0
0669070,2025,5+ units,12,0,0
0807850,2010,1-unit,12,115,115
0807850,2010,2-units,12,1,2
0807850,2010,3-4 units,12,5,20
0807850,2010,5+ units,12,10,316
0807850,2011,1-unit,12,59,59
0807850,2011,2-units,12,0,0
0807850,2011,3-4 units,12,1,3
0807850,2011,5+ units,12,4,53
0807850,2012,1-unit,12,59,59
0807850,2012,2-units,12,0,0
0807850,2012,3-4 units,12,2,7
0807850,2012,5+ units,12,7,349
0807850,2013,1-unit,12,89,89
0807850,2013,2-units,12,0,0
0807850,2013,3-4 units,12,0,0
0807850,2013,5+ units,12,39,789
0807850,2014,1-unit,12,104,104
0807850,2014,2-units,12,0,0
0807850,2014,3-4 units,12,0,0
0807850,2014,5+ units,12,23,504
0807850,2015,1-unit,12,127,127
0807850,2015,2-units,12,0,0
0807850,2015,3-4 units,12,4,16
0807850,2015,5+ units,12,2,100
0807850,2016,1-unit,12,85,85
0807850,2016,2-units,12,0,0
0807850,2016,3-4 units,12,0,0
0807850,2016,5+ units,12,1,16
0807850,2017,1-unit,12,74,74
0807850,2017,2-units,12,0,0
0807850,2017,3-4 units,12,3,10
0807850,2017,5+ units,12,8,118
0807850,2018,1-unit,11,80,80
0807850,2018,2-units,11,1,2
0807850,2018,3-4 units,11,4,12
0807850,2018,5+ units,11,21,653
0807850,2019,1-unit,12,41,41
0807850,2019,2-units,12,0,0
0807850,2019,3-4 units,12,0,0
0807850,2019,5+ units,12,17,286
0807850,2020,1-unit,6,40,40
0807850,2020,2-units,6,4,8
0807850,2020,3-4 units,6,5,17
0807850,2020,5+ units,6,15,251
0807850,2021,1-unit,12,41,41
0807850,2021,2-units,12,5,10
0807850,2021,3-4 units,12,2,8
0807850,2021,5+ units,12,10,235
0807850,2022,1-unit,0,35,35
0807850,2022,2-units,0,1,2
0807850,2022,3-4 units,0,2,6
0807850,2022,5+ units,0,15,261
0807850,2023,1-unit,0,30,30
0807850,2023,2-units,0,0,0
0807850,2023,3-4 units,0,2,6
0807850,2023,5+ units,0,13,219
0807850,2024,1-unit,12,35,35
0807850,2024,2-units,12,3,6
0807850,2024,3-4 units,12,1,4
0807850,2024,5+ units,12,6,361
0807850,2025,1-unit,12,31,31
0807850,2025,2-units,12,1,2
0807850,2025,3-4 units,12,0,0
0807850,2025,5+ units,12,3,303
0824950,2010,1-unit,12,119,119
0824950,2010,2-units,12,0,0
0824950,2010,3-4 units,12,0,0
0824950,2010,5+ units,12,0,0
0824950,2011,1-unit,12,108,108
0824950,2011,2-units,12,0,0
0824950,2011,3-4 units,12,0,0
0824950,2011,5+ units,12,0,0
0824950,2012,1-unit,12,150,150
0824950,2012,2-units,12,0,0
0824950,2012,3-4 units,12,0,0
0824950,2012,5+ units,12,0,0
0824950,2013,1-unit,12,238,238
0824950,2013,2-units,12,0,0
0824950,2013,3-4 units,12,0,0
0824950,2013,5+ units,12,0,0
0824950,2014,1-unit,12,287,287
0824950,2014,2-units,12,0,0
0824950,2014,3-4 units,12,0,0
0824950,2014,5+ units,12,0,0
0824950,2015,1-unit,12,429,429
0824950,2015,2-units,12,0,0
0824950,2015,3-4 units,12,0,0
0824950,2015,5+ units,12,0,0
0824950,2016,1-unit,12,434,434
0824950,2016,2-units,12,0,0
0824950,2016,3-4 units,12,0,0
0824950,2016,5+ units,12,0,0
0824950,2017,1-unit,12,494,494
