year,district_code,district_name,county_name,unit_type,teacher_fte_published,teacher_fte_school_sum,teacher_fte_difference,staff_certificated_fte,staff_noncertificated_fte,pupil_teacher_ratio,schools_published,schools_elementary,schools_middle,schools_senior,schools_other,schools_in_sum,enrollment_published,enrollment_school_sum,graduation_rate,dropout_rate,source
1987,1760,KIM REORGANIZED 88,LAS ANIMAS,district,11.5,,,13.5,4.9,6.5,2,1,0,1,0,,75,,,,yearbook-1987-summary
1987,1780,GENOA-HUGO C113,LINCOLN,district,19.9,,,23.4,9.5,11.2,2,1,0,1,0,,222,,,,yearbook-1987-summary
1987,1790,LIMON RE-4J,LINCOLN,district,28.3,,,33.3,13.1,15.7,2,1,0,1,0,,443,,,,yearbook-1987-summary
1987,1810,KARVAL RE-23,LINCOLN,district,9.0,,,10.0,4.4,6.6,2,1,0,1,0,,59,,,,yearbook-1987-summary
1987,1828,VALLEY RE-1,LOGAN,district,178.2,,,201.8,81.1,15.7,9,5,1,2,1,,2795,,,,yearbook-1987-summary
1987,1850,FRENCHMAN RE-3,LOGAN,district,17.2,,,19.2,10.7,9.2,2,1,0,1,0,,158,,,,yearbook-1987-summary
1987,1870,PLATEAU RE-5,LOGAN,district,17.0,,,18.0,7.0,7.7,2,1,0,1,0,,131,,,,yearbook-1987-summary
1987,1980,DEBEQUE 49JT,MESA,district,10.2,,,11.8,5.1,9.5,2,1,0,1,0,,97,,,,yearbook-1987-summary
1987,1990,PLATEAU VALLEY 50,MESA,district,27.5,,,32.5,12.3,16.7,2,1,0,1,0,,458,,,,yearbook-1987-summary
1987,2000,MESA COUNTY VALLEY 51,MESA,district,860.5,,,1000.9,569.4,18.4,34,21,6,4,3,,15833,,,,yearbook-1987-summary
1987,2010,CREEDE CONSOLIDATED 1,MINERAL,district,12.5,,,15.5,5.8,8.6,2,1,0,1,0,,107,,,0.0,yearbook-1987-summary
1987,2020,MOFFAT COUNTY RE:NO 1,MOFFAT,district,140.9,,,166.9,125.1,18.1,9,7,1,1,0,,2549,,,4.5,yearbook-1987-summary
1987,2035,MONTEZUMA-CORTEZ RE-1,MONTEZUMA,district,184.9,,,205.9,126.5,16.9,12,9,1,1,1,,3126,,,7.7,yearbook-1987-summary
1987,2055,DOLORES RE-4A,MONTEZUMA,district,33.5,,,38.5,19.1,15.6,3,1,1,1,0,,521,,,5.2,yearbook-1987-summary
1987,2070,MANCOS RE-6,MONTEZUMA,district,32.0,,,37.0,16.5,15.2,3,1,1,1,0,,486,,,2.6,yearbook-1987-summary
1987,2180,MONTROSE COUNTY RE-1J,MONTROSE,district,251.9,,,307.6,156.4,17.1,14,8,3,2,1,,4307,,,6.8,yearbook-1987-summary
1987,2190,WEST END RE-2,MONTROSE,district,23.0,,,28.0,20.9,17.2,4,2,1,1,0,,396,,,1.0,yearbook-1987-summary
1987,2395,BRUSH RE-2(J),MORGAN,district,77.5,,,90.5,42.7,16.0,4,2,1,1,0,,1240,,,2.3,yearbook-1987-summary
1987,2405,FORT MORGAN RE-3,MORGAN,district,156.2,,,181.2,106.0,16.9,7,4,1,1,1,,2639,,,7.2,yearbook-1987-summary
1987,2505,WELDON VALLEY RE-20(J),MORGAN,district,14.5,,,15.5,10.5,7.9,3,1,1,1,0,,115,,,2.9,yearbook-1987-summary
1987,2515,WIGGINS RE-50(J),MORGAN,district,30.0,,,35.0,16.4,13.1,3,1,1,1,0,,392,,,1.2,yearbook-1987-summary
1987,2520,EAST OTERO R-1,OTERO,district,127.6,,,148.1,65.9,15.8,5,3,1,1,0,,2014,,,8.5,yearbook-1987-summary
1987,2530,ROCKY FORD R-2,OTERO,district,82.7,,,93.1,55.6,15.7,4,2,1,1,0,,1301,,,4.2,yearbook-1987-summary
1987,2535,MANZANOLA 3J,OTERO,district,18.5,,,21.5,8.0,14.3,2,1,0,1,0,,264,,,0.0,yearbook-1987-summary
1987,2540,FOWLER R-4J,OTERO,district,33.0,,,38.0,26.3,13.8,4,2,1,1,0,,457,,,3.0,yearbook-1987-summary
