ncessch,school_codes,names,district_codes,first_year,last_year,closure_label,closure_confidence,closure_evidence,latitude,longitude
080447001968,3690,GUNNISON ELEMENTARY SCHOOL;Gunnison Elementary School,1360,2003,2024,still_open,high,reported in 2024,38.55369,-106.937459
080447006251,3693,GUNNISON ALTERNATIVE SCHOOL,,1991,1994,closed,high,CCD school_status=2,,
080447006629,1447,CRESTED BUTTE ELEMENTARY SCHOOL;Crested Butte Elementary School,1360,2014,2024,still_open,high,reported in 2024,38.865104,-106.975755
080450000660,3754,HANOVER ELEM SCHOOL;HANOVER ELEMENTARY SCHOOL,1070,1986,2010,closed,high,CCD school_status=2,38.584626,-104.460254
080450000661,3758,HANOVER JR-SR HIGH SCHOOL;HANOVER JUNIOR/SENIOR HIGH;HANOVER JUNIOR-SENIOR HIGH SCHOOL;Hanover Junior-Senior High School,1070,1986,2024,still_open,high,reported in 2024,38.5844,-104.4624
080450006304,6701,PRAIRIE HEIGHTS ELEMENTARY SCHOOL;Prairie Heights Elementary School,1070,2007,2024,still_open,high,reported in 2024,38.534057,-104.679813
080450006720,3941,HANOVER ONLINE ACADEMY;Hanover Online Academy,1070,2017,2024,still_open,high,reported in 2024,38.584359,-104.462398
080453000662,1306,CARMEL MIDDLE SCHOOL;Carmel Middle School;Carmel Community School,0980,1986,2024,still_open,high,reported in 2024,38.807622,-104.765571
080453000663,1383,CENTENNIAL ELEM SCHOOL;CENTENNIAL ELEMENTARY SCHOOL;Centennial Elementary School,0980,1986,2024,still_open,high,reported in 2024,38.804256,-104.762223
080453000664,1490,CHAMBERLIN ELEM SCHOOL;CHAMBERLIN ELEMENTARY SCHOOL;CHAMBERLIN ACADEMY,0980,1986,2011,closed,high,CCD school_status=2,38.797419,-104.80931
080453000665,3392,GIBERSON ELEM SCHOOL;GIBERSON ELEMENTARY SCHOOL;Giberson Elementary School,0980,1986,2024,still_open,high,reported in 2024,38.7927,-104.7501
080453000666,3522,GORMAN MIDDLE SCHOOL;FOX MEADOW MIDDLE SCHOOL;Fox Meadow Middle School,0980,1986,2024,still_open,high,reported in 2024,38.7835,-104.8013
080453000667,3806,HARRISON HIGH SCHOOL;Harrison High School,0980,1986,2024,still_open,high,reported in 2024,38.7925,-104.7933
080453000668,6018,MONTEREY ELEM SCHOOL;MONTEREY ELEMENTARY SCHOOL;Monterey Elementary School,0980,1986,2024,still_open,high,reported in 2024,38.7998,-104.7676
080453000669,6686,PANORAMA MIDDLE SCHOOL;Panorama Middle School,0980,1986,2024,still_open,high,reported in 2024,38.8035,-104.7419
080453000670,6936,PIKES PEAK ELEM SCHOOL;PIKES PEAK ELEMENTARY SCHOOL;Pikes Peak Elementary School,0980,1986,2022,closed,high,CCD school_status=2,38.8107,-104.7708
080453000671,8337,STRATMOOR HILLS ELEM SCHOOL;STRATMOOR HILLS ELEMENTARY;STRATMOOR HILLS ELEMENTARY SCHOOL;Stratmoor Hills Elementary School,0980,1986,2022,closed,high,CCD school_status=2,38.772621,-104.798016
080453000672,8350,STRATTON MEADOWS ELEM SCHOOL;STRATTON MEADOWS ELEMENTARY;STRATTON MEADOWS ELEMENTARY SCHOOL;Stratton Meadows Elementary School,0980,1986,2024,still_open,high,reported in 2024,38.806,-104.813
080453001314,1000,BRICKER ELEM SCHOOL;BRICKER ELEMENTARY SCHOOL;Bricker Elementary School,0980,1986,2024,still_open,high,reported in 2024,38.8009,-104.7368
080453001326,1582,The Vanguard School (Elementary),0980,2021,2024,still_open,high,reported in 2024,38.808283,-104.819592
080453001369,6460,OAK CREEK ELEM SCHOOL;OAK CREEK ELEMENTARY SCHOOL;OAK CREEK ELEMENTRAY SCHOOL;Oak Creek Elementary School,0980,1986,2024,still_open,high,reported in 2024,38.7835,-104.8176
080453001370,9602,WILDFLOWER ELEM SCHOOL;WILDFLOWER ELEMENTARY SCHOOL;Wildflower Elementary School,0980,1986,2024,still_open,high,reported in 2024,38.8165,-104.7401
080453001382,7882,SIERRA HIGH SCHOOL;Sierra High School,0980,1986,2024,still_open,high,reported in 2024,38.801835,-104.752471
