year,county_name,district_code,district_name,school_code,school_name,grade,enrollment,source
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,9,7,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,K,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P221,NORTH LUTHERAN HIGH SCHOOL,PK,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,1,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,10,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,11,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,12,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,2,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,3,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,4,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,5,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,6,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,7,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,8,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,9,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,K,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P257,GOOD SHEPHERD TLC PRE-SCHOOL,PK,72,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,1,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,10,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,11,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,12,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,2,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,3,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,4,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,5,0,nonpublic-2003-ed59017200346internet.xls
