year,ncessch,school_code,district_code,school_name,district_name,enrollment_total_cde,enrollment_total_ccd,teacher_fte_cde,teacher_fte_ccd,enrollment_reported_in_fte_file,latitude,longitude,is_charter,status
1986,080243000092,0775,,BENNETT HIGH SCHOOL,BENNETT SCH DIST 29J,,243,,18.0,,39.760991,-104.424803,,1
1986,080480000701,0776,,BERGEN ELEM SCHOOL,JEFFERSON COUNTY SCH DIST R-1,,544,,23.0,,39.680986,-105.361363,,1
1986,080723001229,0788,,BERKELEY GARDENS ELEM SCHOOL,WESTMINISTER SCH DIST 50,,341,,19.0,,39.793,-105.0347,,1
1986,080555000952,0798,,BERTHA HEID ELEM SCHOOL,MAPLETON SCH DIST 1,,816,,31.0,,39.862,-104.961,,1
1986,080540000926,0808,,BERTHOUD ELEM SCHOOL,THOMPSON SCH DIST R-2J,,424,,18.0,,40.3132,-105.0818,,1
1986,080540000927,0812,,BERTHOUD HIGH SCHOOL,THOMPSON SCH DIST R-2J,,565,,32.0,,40.2987,-105.0862,,1
1986,080612001031,0822,,BESSEMER ELEM SCHOOL,PUEBLO CITY SCH DIST 60,,394,,18.0,,38.2468,-104.6166,,1
1986,080246000094,0832,,BETHUNE ELEM SCHOOL,BETHUNE SCH DIST R-5,,42,,3.0,,39.306114,-102.426727,,1
1986,080246000095,0842,,BETHUNE UND. HIGH SCHOOL,BETHUNE SCH DIST R-5,,48,,6.0,,39.306226,-102.426175,,1
1986,080615001071,0852,,BEULAH ELEM SCHOOL,PUEBLO CO RURAL SCH DIST 70,,85,,6.0,,38.0756,-104.9784,,1
1986,080615001072,0856,,BEULAH MIDDLE SCHOOL,PUEBLO CO RURAL SCH DIST 70,,43,,3.0,,38.0756,-104.9783,,1
1986,080612001032,0860,,BEULAH HEIGHTS ELEM,PUEBLO CITY SCH DIST 60,,409,,21.0,,38.2227,-104.6488,,1
1986,080540000924,0865,,B.F. KITCHEN ELEM.,THOMPSON SCH DIST R-2J,,326,,14.0,,40.3746,-105.0918,,1
1986,080540000928,0870,,BIG THOMPSON ELEM SCHOOL,THOMPSON SCH DIST R-2J,,317,,15.0,,40.4187,-105.1893,,1
1986,080249000100,0872,,BIRCH ELEM SCHOOL,BOULDER VALLEY SCH DIST RE-2J,,303,,14.0,,39.9304,-105.0595,,1
1986,080447000654,0880,,BLACKSTOCK ELEM SCHOOL,GUNNISON WATERSHED S D RE-1J,,260,,16.0,,,,,1
1986,080540000930,0890,,BLAIR ELEM SCHOOL,THOMPSON SCH DIST R-2J,,374,,15.0,,40.4211,-105.0652,,1
1986,080399000522,0892,,BLEVINS JR. HIGH SCHOOL,POUDRE SCH DIST R-1,,897,,43.0,,40.5595,-105.116,,1
1986,080336000315,0894,,BOETTCHER SCHOOL,DENVER SCH DIST 1,,62,,3.0,,,,,1
1986,080399000523,0898,,BOLTZ JR. HIGH SCHOOL,POUDRE SCH DIST R-1,,906,,45.0,,40.5425,-105.0628,,1
1986,080435000598,0900,,BOOKCLIFF MIDDLE SCHOOL,MESA VALLEY SCH DIST 51,,505,,29.0,,39.082,-108.5091,,1
1986,080615001073,0904,,BOONE ELEM SCHOOL,PUEBLO CO RURAL SCH DIST 70,,58,,3.0,,,,,1
1986,080234000055,0914,,BOSTON PRIMARY SCHOOL,ADAMS-ARAPAHOE (AURORA) SD 28J,,150,,5.0,,39.737957,-104.88063,,1
1986,080249000101,0924,,BOULDER HIGH SCHOOL,BOULDER VALLEY SCH DIST RE-2J,,1925,,77.0,,40.0136,-105.2736,,1
1986,080207000028,0944,,BOYD ELEM SCHOOL,ALAMOSA SCH DIST RE-11J,,378,,17.0,,37.461177,-105.864362,,1
