year,school_year,district_code,district_name,county_name,unit_type,fall_membership,membership_definition,fall_membership_k12,closing_day_membership,average_daily_membership,adae,source
1977,1977-78,1410,NORTH PARK R-1,Jackson,district,481.0,printed_total,,432.0,468.9,450.1,yearbook-1986-table4
1977,1977-78,0020,NORTHGLENN-THORNTON 12,Adams,district,19121.0,printed_total,,18802.0,18760.6,18023.5,yearbook-1986-table4
1977,1977-78,2840,NORWOOD R-2J,San Miguel,district,347.0,printed_total,,348.0,334.3,320.9,yearbook-1986-table4
1977,1977-78,3050,OTIS R-3,Washington,district,195.0,printed_total,,205.0,189.0,185.8,yearbook-1986-table4
1977,1977-78,2580,OURAY R-1,Ouray,district,187.0,printed_total,,184.0,178.4,171.3,yearbook-1986-table4
1977,1977-78,1570,PARK (ESTES PARK) R-3(J),Larimer,district,1135.0,printed_total,,1089.0,1112.2,1067.7,yearbook-1986-table4
1977,1977-78,2610,PARK COUNTY RE-2,Park,district,271.0,printed_total,,259.0,326.2,313.2,yearbook-1986-table4
1977,1977-78,1060,PEYTON 23 JT,El Paso,district,209.0,printed_total,,199.0,220.6,197.8,yearbook-1986-table4
1977,1977-78,1440,PLAINVIEW RE-2,Kiowa,district,102.0,printed_total,,102.0,102.0,99.5,yearbook-1986-table4
1977,1977-78,1870,PLATEAU RE-5,Logan,district,162.0,printed_total,,169.0,156.5,150.3,yearbook-1986-table4
1977,1977-78,1990,PLATEAU VALLEY 50,Mesa,district,316.0,printed_total,,320.0,303.7,288.7,yearbook-1986-table4
1977,1977-78,2600,PLATTE CANYON 1,Park,district,672.0,printed_total,,700.0,654.6,628.4,yearbook-1986-table4
1977,1977-78,2865,PLATTE VALLEY RE-3,Sedgwick,district,299.0,printed_total,,298.0,292.8,282.9,yearbook-1986-table4
1977,1977-78,3130,PLATTE VALLEY RE-7,Weld,district,895.0,printed_total,,904.0,915.8,843.1,yearbook-1986-table4
1977,1977-78,1550,POUDRE R-1,Larimer,district,14505.0,printed_total,,14431.0,14014.8,13454.2,yearbook-1986-table4
1977,1977-78,1590,PRIMERO REORGANIZED 2,Las Animas,district,227.0,printed_total,,242.0,229.1,219.9,yearbook-1986-table4
1977,1977-78,0240,PRITCHETT RE-3,Baca,district,95.0,printed_total,,96.0,95.0,94.1,yearbook-1986-table4
1977,1977-78,2690,PUEBLO CITY 60,Pueblo,district,23158.0,printed_total,,22563.0,22076.5,21439.1,yearbook-1986-table4
1977,1977-78,2700,PUEBLO COUNTY RURAL 70,Pueblo,district,4967.0,printed_total,,4893.0,4880.8,4685.6,yearbook-1986-table4
1977,1977-78,2720,RANGELY RE-4,Rio Blanco,district,617.0,printed_total,,603.0,556.4,534.1,yearbook-1986-table4
1977,1977-78,2590,RIDGWAY R-2,Ouray,district,187.0,printed_total,,193.0,183.7,176.4,yearbook-1986-table4
