year,district_code,district_name,county,countyfips,unit_type,teacher_fte,teacher_fte_basis,teacher_fte_published,teacher_fte_school_sum,schools,schools_basis,schools_published,schools_open,enrollment,enrollment_panel,enrollment_ccd,pop_5_17,pop_0_4,datatype
2013,1990,PLATEAU VALLEY 50,Mesa,077,district,35.29,school_sum,,35.29,4.0,school_panel,,4.0,450.0,450.0,450.0,24486.0,9392.0,Estimate
2014,1990,PLATEAU VALLEY 50,Mesa,077,district,32.307,school_sum,,32.307,4.0,school_panel,,4.0,459.0,459.0,459.0,24358.0,9162.0,Estimate
2015,1990,PLATEAU VALLEY 50,Mesa,077,district,31.22,school_sum,,31.22,4.0,school_panel,,4.0,452.0,452.0,452.0,24514.0,9074.0,Estimate
2016,1990,PLATEAU VALLEY 50,Mesa,077,district,28.23,published,28.23,28.23,4.0,school_panel,,4.0,437.0,437.0,437.0,24730.0,8918.0,Estimate
2017,1990,,Mesa,077,,,,,,4.0,school_panel,,4.0,451.0,451.0,451.0,24823.0,8791.0,Estimate
2018,1990,PLATEAU VALLEY 50,Mesa,077,district,31.73,published,31.73,31.73,4.0,school_panel,,4.0,442.0,442.0,442.0,24929.0,8611.0,Estimate
2019,1990,Plateau Valley 50,Mesa,077,district,31.2,school_sum,,31.2,4.0,school_panel,,4.0,394.0,394.0,394.0,24831.0,8427.0,Estimate
2020,1990,,Mesa,077,,,,,,4.0,school_panel,,4.0,356.0,356.0,356.0,24804.0,8208.0,Estimate
2021,1990,,Mesa,077,,,,,,4.0,school_panel,,4.0,305.0,305.0,305.0,24824.0,8064.0,Estimate
2022,1990,Plateau Valley 50,Mesa,077,district,24.7,published,24.7,24.7,4.0,school_panel,,4.0,314.0,314.0,314.0,24738.0,7868.0,Estimate
2023,1990,Plateau Valley 50,Mesa,077,district,22.3,published,22.3,22.3,4.0,school_panel,,4.0,310.0,310.0,309.0,24629.0,7641.0,Estimate
2024,1990,Plateau Valley 50,Mesa,077,district,23.8,published,23.8,23.8,4.0,school_panel,,4.0,303.0,303.0,303.0,24488.0,7524.0,Estimate
1990,2000,MESA COUNTY VALLEY 51,Mesa,077,district,908.2,published,908.2,,35.0,school_panel,35.0,35.0,17024.0,,17024.0,18474.0,6748.0,Estimate
1991,2000,MESA COUNTY VALLEY 51,Mesa,077,district,939.6,published,939.6,,36.0,school_panel,36.0,36.0,17489.0,,17489.0,18835.0,6807.0,Estimate
1992,2000,MESA COUNTY VALLEY 51,Mesa,077,district,974.9,published,974.9,,38.0,school_panel,37.0,38.0,17888.0,,17888.0,19019.0,6814.0,Estimate
1993,2000,MESA COUNTY VALLEY 51,Mesa,077,district,996.4,published,996.4,,36.0,school_panel,36.0,36.0,18063.0,,18063.0,19404.0,6893.0,Estimate
1994,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1020.6,published,1020.6,,36.0,school_panel,36.0,36.0,18381.0,,18381.0,19857.0,6990.0,Estimate
1995,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1033.4,published,1033.4,,36.0,school_panel,36.0,36.0,18643.0,,18643.0,20266.0,7072.0,Estimate
1996,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1039.0,published,1039.0,,37.0,school_panel,35.0,37.0,19049.0,,19049.0,20564.0,7112.0,Estimate
1997,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1040.3,published,1040.3,,36.0,school_panel,36.0,36.0,18995.0,,18995.0,20885.0,7154.0,Estimate
1998,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1052.0,published,1052.0,,39.0,school_panel,40.0,39.0,19146.0,,19146.0,21257.0,7211.0,Estimate
1999,2000,MESA COUNTY VALLEY 51,Mesa,077,district,,,,,40.0,school_panel,39.0,40.0,19324.0,,19324.0,21568.0,7247.0,Estimate
2000,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1098.4182,school_sum,,1098.4182,40.0,school_panel,,40.0,,,19745.0,22030.0,7328.0,Estimate
2001,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1131.2406,school_sum,,1131.2406,40.0,school_panel,,40.0,18019.0,18019.0,20035.0,22175.0,7352.0,Estimate
2002,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1138.2214,school_sum,,1138.2214,40.0,school_panel,,40.0,18994.0,18994.0,20080.0,22056.0,7501.0,Estimate
2003,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1129.8354,school_sum,,1129.8354,40.0,school_panel,,40.0,20167.0,20167.0,20167.0,22135.0,7689.0,Estimate
2004,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1122.9562,school_sum,,1122.9562,39.0,school_panel,,39.0,20120.0,20120.0,20120.0,22280.0,7817.0,Estimate
2005,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1125.4071,school_sum,,1125.4071,39.0,school_panel,,39.0,20571.0,20571.0,20571.0,22361.0,8050.0,Estimate
2006,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1170.518,school_sum,,1170.518,42.0,school_panel,,42.0,21166.0,21166.0,21166.0,22838.0,8466.0,Estimate
2007,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1198.5485,school_sum,,1198.5485,43.0,school_panel,,43.0,21281.0,21281.0,21281.0,23427.0,8915.0,Estimate
2008,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1147.773,school_sum,,1147.773,46.0,school_panel,,46.0,22114.0,22114.0,22114.0,23749.0,9308.0,Estimate
2009,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1241.0867,school_sum,,1241.0867,44.0,school_panel,,44.0,22008.0,22008.0,22028.0,24238.0,9730.0,Estimate
2010,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1305.894,published,1305.894,1259.817,46.0,school_panel,,46.0,22091.0,22081.0,22099.0,24600.0,9951.0,Estimate
2011,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1210.72,school_sum,,1210.72,46.0,school_panel,,46.0,21914.0,21914.0,21922.0,24544.0,9895.0,Estimate
2012,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1189.87,school_sum,,1189.87,46.0,school_panel,,46.0,21714.0,21714.0,21730.0,24484.0,9613.0,Estimate
2013,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1227.77,school_sum,,1227.77,47.0,school_panel,,47.0,21894.0,21894.0,21906.0,24486.0,9392.0,Estimate
2014,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1245.5007,school_sum,,1245.5007,47.0,school_panel,,47.0,21742.0,21742.0,21746.0,24358.0,9162.0,Estimate
2015,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1231.94,school_sum,,1231.94,47.0,school_panel,,47.0,21904.0,21904.0,21904.0,24514.0,9074.0,Estimate
2016,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1284.54,published,1284.54,1241.61,46.0,school_panel,,46.0,22105.0,22105.0,22105.0,24730.0,8918.0,Estimate
2017,2000,,Mesa,077,,,,,,46.0,school_panel,,46.0,22084.0,22084.0,22084.0,24823.0,8791.0,Estimate
2018,2000,MESA COUNTY VALLEY 51,Mesa,077,district,1297.49,published,1297.49,1265.5,46.0,school_panel,,46.0,22082.0,22082.0,22082.0,24929.0,8611.0,Estimate
2019,2000,Mesa County Valley 51,Mesa,077,district,1264.8,school_sum,,1264.8,49.0,school_panel,,49.0,22046.0,22046.0,21994.0,24831.0,8427.0,Estimate
2020,2000,,Mesa,077,,,,,,47.0,school_panel,,47.0,21081.0,21081.0,21084.0,24804.0,8208.0,Estimate
2021,2000,,Mesa,077,,,,,,47.0,school_panel,,47.0,21315.0,21315.0,21327.0,24824.0,8064.0,Estimate
2022,2000,Mesa County Valley 51,Mesa,077,district,1253.6,school_sum,,1253.6,47.0,school_panel,,47.0,20851.0,20851.0,20762.0,24738.0,7868.0,Estimate
2023,2000,Mesa County Valley 51,Mesa,077,district,1224.2,published,1224.2,1224.2,48.0,school_panel,,48.0,20208.0,20208.0,20078.0,24629.0,7641.0,Estimate
