level,school_year,school,attending_neighborhood_school,oe_in_from_district,oe_in_from_outside,placements_into_school,unmatched_addresses,total_within_bvsd,total_enrollment,pct_from_neighborhood_area,year,from_areas,rebuilt,gap
elementary,2019-2020,Superior,381.0,39.0,5.0,9.0,0.0,429.0,434.0,,2020,420.0,434.0,0.0
elementary,2019-2020,Eldorado K-8,299.0,46.0,29.0,5.0,0.0,350.0,379.0,,2020,345.0,379.0,0.0
elementary,2019-2020,Monarch K-8,230.0,67.0,39.0,12.0,0.0,309.0,348.0,,2020,297.0,348.0,0.0
elementary,2019-2020,Louisville Elem.,479.0,20.0,5.0,12.0,0.0,511.0,516.0,,2020,499.0,516.0,0.0
elementary,2019-2020,Fireside,339.0,83.0,8.0,7.0,0.0,429.0,437.0,,2020,422.0,437.0,0.0
elementary,2019-2020,Coal Creek,346.0,27.0,8.0,8.0,0.0,381.0,389.0,,2020,373.0,389.0,0.0
elementary,2019-2020,Meadowlark,415.0,17.0,25.0,5.0,0.0,437.0,462.0,,2020,432.0,462.0,0.0
elementary,2019-2020,Sanchez,258.0,32.0,7.0,5.0,0.0,295.0,302.0,,2020,290.0,302.0,0.0
elementary,2019-2020,Ryan,447.0,37.0,10.0,4.0,0.0,488.0,498.0,,2020,484.0,498.0,0.0
elementary,2019-2020,Lafayette Elem.,391.0,67.0,6.0,8.0,0.0,466.0,472.0,,2020,458.0,472.0,0.0
elementary,2019-2020,Kohl,240.0,61.0,50.0,5.0,0.0,306.0,356.0,,2020,301.0,356.0,0.0
elementary,2019-2020,Emerald,276.0,30.0,53.0,15.0,0.0,321.0,374.0,,2020,306.0,374.0,0.0
elementary,2019-2020,Birch,238.0,31.0,65.0,11.0,0.0,280.0,345.0,,2020,269.0,345.0,0.0
elementary,2019-2020,Aspen Creek K-8,273.0,72.0,64.0,6.0,0.0,351.0,415.0,,2020,345.0,415.0,0.0
elementary,2019-2020,Whittier,292.0,77.0,6.0,3.0,0.0,372.0,378.0,,2020,369.0,378.0,0.0
elementary,2019-2020,Mesa *,209.0,45.0,5.0,2.0,0.0,256.0,261.0,,2020,254.0,261.0,0.0
elementary,2019-2020,Heatherwood,241.0,12.0,6.0,9.0,0.0,262.0,268.0,,2020,253.0,268.0,0.0
elementary,2019-2020,Foothill,414.0,33.0,0.0,9.0,0.0,456.0,456.0,,2020,447.0,456.0,0.0
elementary,2019-2020,Flatirons,150.0,56.0,4.0,1.0,0.0,207.0,211.0,,2020,206.0,211.0,0.0
elementary,2019-2020,Eisenhower,325.0,56.0,8.0,13.0,0.0,394.0,402.0,,2020,381.0,402.0,0.0
elementary,2019-2020,Douglass,280.0,83.0,7.0,11.0,0.0,374.0,381.0,,2020,363.0,381.0,0.0
elementary,2019-2020,Crest View,478.0,42.0,10.0,6.0,0.0,526.0,536.0,,2020,520.0,536.0,0.0
elementary,2019-2020,Creekside *,274.0,48.0,7.0,7.0,0.0,329.0,336.0,,2020,322.0,336.0,0.0
elementary,2019-2020,Columbine,389.0,44.0,4.0,12.0,1.0,446.0,450.0,,2020,433.0,450.0,0.0
elementary,2019-2020,Bear Creek *,358.0,35.0,0.0,7.0,0.0,400.0,400.0,,2020,393.0,400.0,0.0
elementary,2020-2021,Peak to Peak,,362.0,91.0,0.0,0.0,362.0,453.0,,2021,362.0,453.0,0.0
elementary,2020-2021,Horizons,,220.0,6.0,3.0,0.0,223.0,229.0,,2021,220.0,229.0,0.0
elementary,2020-2021,Pioneer,,360.0,63.0,2.0,0.0,362.0,425.0,,2021,360.0,425.0,0.0
elementary,2020-2021,Uni-Hill Int.,,367.0,30.0,0.0,1.0,368.0,398.0,,2021,367.0,398.0,0.0
elementary,2020-2021,Comm. Montessori,,189.0,17.0,2.0,0.0,191.0,208.0,,2021,189.0,208.0,0.0
elementary,2020-2021,High Peaks,,257.0,15.0,1.0,0.0,258.0,273.0,,2021,257.0,273.0,0.0
elementary,2020-2021,Halcyon,,1.0,0.0,3.0,0.0,4.0,4.0,,2021,1.0,4.0,0.0
elementary,2020-2021,Boulder Universal,,276.0,37.0,0.0,1.0,277.0,314.0,,2021,276.0,314.0,0.0
elementary,2020-2021,BCSIS,,281.0,3.0,1.0,0.0,282.0,285.0,,2021,281.0,285.0,0.0
elementary,2020-2021,Nederland Elem.,177.0,0.0,1.0,0.0,0.0,177.0,178.0,,2021,177.0,178.0,0.0
elementary,2020-2021,Jamestown,13.0,6.0,0.0,0.0,0.0,19.0,19.0,,2021,19.0,19.0,0.0
elementary,2020-2021,Gold Hill,7.0,18.0,0.0,0.0,0.0,25.0,25.0,,2021,25.0,25.0,0.0
elementary,2020-2021,Superior,370.0,35.0,6.0,6.0,0.0,411.0,417.0,,2021,405.0,417.0,0.0
elementary,2020-2021,Eldorado K-8,249.0,26.0,29.0,6.0,0.0,281.0,310.0,,2021,275.0,310.0,0.0
elementary,2020-2021,Monarch K-8,181.0,71.0,30.0,15.0,1.0,268.0,298.0,,2021,252.0,298.0,0.0
elementary,2020-2021,Louisville Elem.,421.0,13.0,3.0,11.0,1.0,446.0,449.0,,2021,434.0,449.0,0.0
elementary,2020-2021,Fireside,287.0,69.0,7.0,11.0,2.0,369.0,376.0,,2021,356.0,376.0,0.0
elementary,2020-2021,Coal Creek,291.0,21.0,8.0,13.0,0.0,325.0,333.0,,2021,312.0,333.0,0.0
elementary,2020-2021,Meadowlark,397.0,10.0,24.0,5.0,0.0,412.0,436.0,,2021,407.0,436.0,0.0
elementary,2020-2021,Sanchez,231.0,23.0,3.0,6.0,0.0,260.0,263.0,,2021,254.0,263.0,0.0
elementary,2020-2021,Ryan,377.0,27.0,9.0,4.0,3.0,411.0,420.0,,2021,404.0,420.0,0.0
elementary,2020-2021,Lafayette Elem.,327.0,71.0,5.0,7.0,0.0,405.0,410.0,,2021,398.0,410.0,0.0
elementary,2020-2021,Kohl,195.0,44.0,47.0,7.0,0.0,246.0,293.0,,2021,239.0,293.0,0.0
elementary,2020-2021,Emerald,236.0,34.0,50.0,18.0,0.0,288.0,338.0,,2021,270.0,338.0,0.0
elementary,2020-2021,Birch,193.0,26.0,68.0,6.0,0.0,225.0,293.0,,2021,219.0,293.0,0.0
elementary,2020-2021,Aspen Creek K-8,221.0,58.0,60.0,7.0,1.0,287.0,347.0,,2021,279.0,347.0,0.0
elementary,2020-2021,Whittier,245.0,73.0,6.0,4.0,1.0,323.0,329.0,,2021,318.0,329.0,0.0
elementary,2020-2021,Mesa *,174.0,50.0,4.0,7.0,0.0,231.0,235.0,,2021,224.0,235.0,0.0
elementary,2020-2021,Heatherwood,195.0,10.0,11.0,8.0,0.0,213.0,224.0,,2021,205.0,224.0,0.0
