year,ncessch,school_code,district_code,school_name,district_name,enrollment_total_cde,enrollment_total_ccd,teacher_fte_cde,teacher_fte_ccd,enrollment_reported_in_fte_file,latitude,longitude,is_charter,status,district_by_name,district,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,grade_span,level
2024,080249001219,0125,0480,Arapahoe Ridge High School,Boulder Valley Re 2,184.0,184.0,11.8,11.0,184.0,40.013513,-105.198032,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,132.0,10-12,has_high_grades
2024,080249001758,0441,0480,Aspen Creek K-8 School,Boulder Valley Re 2,844.0,844.0,46.8,46.0,844.0,39.9469,-105.0567,0.0,1.0,0480,0480,30.0,70.0,59.0,70.0,76.0,86.0,82.0,138.0,115.0,118.0,0.0,0.0,0.0,0.0,PK-8,elementary_or_middle
2024,080249000099,0652,0480,Bear Creek Elementary School,Boulder Valley Re 2,318.0,318.0,17.2,17.0,318.0,39.9804,-105.2632,0.0,1.0,0480,0480,0.0,51.0,39.0,54.0,54.0,57.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K-5,elementary_or_middle
2024,080249000100,0872,0480,Birch Elementary School,Boulder Valley Re 2,299.0,299.0,19.7,19.0,299.0,39.9304,-105.0595,0.0,1.0,0480,0480,22.0,49.0,36.0,47.0,53.0,44.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PK-5,elementary_or_middle
2024,080249001630,0919,0480,Boulder Community School/Integrated Studies,Boulder Valley Re 2,255.0,255.0,15.2,15.0,255.0,40.004245,-105.243619,0.0,1.0,0480,0480,0.0,42.0,40.0,38.0,48.0,42.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K-5,elementary_or_middle
2024,080249000101,0924,0480,Boulder High School,Boulder Valley Re 2,1939.0,1939.0,91.1,91.0,1939.0,40.0136,-105.2736,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,442.0,519.0,509.0,9-12,has_high_grades
2024,080249006463,0930,0480,Boulder Universal,Boulder Valley Re 2,231.0,231.0,16.3,16.0,231.0,40.013513,-105.198032,0.0,1.0,0480,0480,0.0,7.0,6.0,8.0,9.0,3.0,13.0,10.0,9.0,30.0,17.0,29.0,52.0,38.0,K-12,has_high_grades
2024,080249001631,0934,0480,Boulder Prep Charter High School,Boulder Valley Re 2,114.0,114.0,11.1,11.0,114.0,40.0669,-105.2031,1.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,27.0,56.0,9-12,has_high_grades
2024,080249000102,1066,0480,Broomfield Heights Middle School,Boulder Valley Re 2,490.0,490.0,29.5,29.0,490.0,39.9376,-105.0779,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,177.0,164.0,0.0,0.0,0.0,0.0,6-8,other
2024,080249000103,1070,0480,Broomfield High School,Boulder Valley Re 2,1694.0,1693.0,77.9,77.0,1694.0,39.93,-105.075,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,449.0,406.0,430.0,9-12,has_high_grades
2024,080249000104,1136,0480,Manhattan Middle School of the Arts and Academics,Boulder Valley Re 2,482.0,482.0,28.6,28.0,482.0,39.9941,-105.2288,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,144.0,161.0,0.0,0.0,0.0,0.0,6-8,other
2024,080249000106,1352,0480,Casey Middle School,Boulder Valley Re 2,363.0,363.0,28.7,28.0,363.0,40.0232,-105.2799,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,110.0,139.0,0.0,0.0,0.0,0.0,6-8,other
2024,080249000107,1380,0480,Centaurus High School,Boulder Valley Re 2,1557.0,1557.0,78.0,78.0,1557.0,39.9863,-105.1126,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,413.0,343.0,409.0,9-12,has_high_grades
2024,080249000108,1390,0480,Centennial Middle School,Boulder Valley Re 2,598.0,598.0,30.9,30.0,598.0,40.0448,-105.2685,0.0,1.0,0480,0480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,207.0,192.0,0.0,0.0,0.0,0.0,6-8,other
2024,080249001376,1725,0480,Coal Creek Elementary School,Boulder Valley Re 2,313.0,313.0,18.0,17.0,313.0,39.9828,-105.1577,0.0,1.0,0480,0480,30.0,39.0,39.0,43.0,51.0,59.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PK-5,elementary_or_middle
2024,080249000109,1842,0480,Columbine Elementary School,Boulder Valley Re 2,369.0,369.0,24.7,24.0,369.0,40.0324,-105.268941,0.0,1.0,0480,0480,26.0,52.0,52.0,59.0,59.0,59.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PK-5,elementary_or_middle
