level,school,attendance_area,students
middle,Platt,Centennial,17.0
middle,Platt,Platt,266.0
middle,Platt,Southern Hills,4.0
middle,Platt,Aspen Creek K-8,3.0
middle,Platt,Angevine,55.0
middle,Platt,Meadowlark,8.0
middle,Platt,Louisville Middle,20.0
middle,Platt,Monarch K-8,9.0
middle,Platt,Eldorado K-8,2.0
middle,Platt,Nederland,2.0
middle,Centennial,Manhattan,9.0
middle,Centennial,Casey,96.0
middle,Centennial,Centennial,432.0
middle,Centennial,Platt,8.0
middle,Centennial,Southern Hills,2.0
middle,Centennial,Louisville Middle,2.0
middle,Centennial,Monarch K-8,1.0
middle,Centennial,Nederland,1.0
middle,Casey,Manhattan,7.0
middle,Casey,Casey,254.0
middle,Casey,Centennial,41.0
middle,Casey,Platt,3.0
middle,Casey,Louisville Middle,1.0
middle,Casey,Monarch K-8,1.0
middle,Casey,Nederland,1.0
middle,Manhattan,Manhattan,178.0
middle,Manhattan,Casey,53.0
middle,Manhattan,Centennial,29.0
middle,Manhattan,Platt,16.0
middle,Manhattan,Southern Hills,31.0
middle,Manhattan,Aspen Creek K-8,4.0
middle,Manhattan,Broomfield Heights,4.0
middle,Manhattan,Angevine,43.0
middle,Manhattan,Meadowlark,8.0
middle,Manhattan,Louisville Middle,13.0
middle,Manhattan,Monarch K-8,3.0
middle,Manhattan,Eldorado K-8,4.0
middle,Manhattan,Nederland,7.0
high,Justice High,Boulder*,7.0
high,Justice High,Fairview*,1.0
high,Justice High,Broomfield,4.0
high,Justice High,Centaurus,27.0
high,Justice High,Monarch,7.0
high,Peak-to-Peak,Boulder*,10.0
high,Peak-to-Peak,Fairview*,11.0
high,Peak-to-Peak,Boulder/Fairview Optional,2.0
high,Peak-to-Peak,Broomfield,54.0
high,Peak-to-Peak,Centaurus,301.0
high,Peak-to-Peak,Monarch,98.0
high,Boulder Prep,Boulder*,17.0
high,Boulder Prep,Fairview*,3.0
high,Boulder Prep,Boulder/Fairview Optional,5.0
high,Boulder Prep,Broomfield,5.0
high,Boulder Prep,Centaurus,13.0
high,Boulder Prep,Monarch,4.0
high,New Vista,Boulder*,110.0
high,New Vista,Fairview*,65.0
high,New Vista,Boulder/Fairview Optional,11.0
high,New Vista,Broomfield,12.0
high,New Vista,Centaurus,22.0
high,New Vista,Monarch,29.0
high,New Vista,Nederland,16.0
high,Halcyon,Boulder*,3.0
high,Halcyon,Fairview*,2.0
high,Halcyon,Centaurus,2.0
high,Halcyon,Monarch,1.0
high,Halcyon,Nederland,1.0
high,Boulder Universal,Boulder*,23.0
high,Boulder Universal,Fairview*,8.0
high,Boulder Universal,Boulder/Fairview Optional,2.0
high,Boulder Universal,Broomfield,19.0
high,Boulder Universal,Centaurus,14.0
high,Boulder Universal,Monarch,23.0
high,Boulder Universal,Nederland,3.0
high,Arapahoe Ridge,Boulder*,40.0
high,Arapahoe Ridge,Fairview*,8.0
high,Arapahoe Ridge,Boulder/Fairview Optional,2.0
high,Arapahoe Ridge,Broomfield,21.0
high,Arapahoe Ridge,Centaurus,38.0
high,Arapahoe Ridge,Monarch,12.0
high,Nederland,Boulder*,1.0
high,Nederland,Nederland,93.0
high,Monarch,Boulder*,3.0
high,Monarch,Fairview*,15.0
high,Monarch,Broomfield,30.0
high,Monarch,Centaurus,112.0
high,Monarch,Monarch,1188.0
high,Monarch,Nederland,1.0
high,Centaurus,Boulder*,13.0
high,Centaurus,Fairview*,23.0
high,Centaurus,Boulder/Fairview Optional,7.0
high,Centaurus,Broomfield,18.0
high,Centaurus,Centaurus,1198.0
high,Centaurus,Monarch,207.0
high,Broomfield,Boulder*,1.0
high,Broomfield,Fairview*,2.0
