ncessch,school_codes,names,district_codes,first_year,last_year,closure_label,closure_confidence,closure_evidence,latitude_x,longitude_x,last_district,last_name,last_enrollment,latitude_y,longitude_y
080336006584,2207,DOWNTOWN DENVER EXPEDITIONARY SCHOOL;Downtown Denver Expeditionary School,0880,2013,2024,still_open,high,reported in 2024,39.74575,-104.985751,0880,Downtown Denver Expeditionary School,263.0,39.74575,-104.985751
080336006590,7246,RESPECT ACADEMY AT LINCOLN;RESPECT ACADEMY;Respect Academy,0880,2013,2024,still_open,high,reported in 2024,39.677193,-105.02707,0880,Respect Academy,99.0,39.677193,-105.02707
080336006591,7188,P.U.S.H. ACADEMY;MONTBELLO CAREER AND TECHNICAL HIGH SCHOOL;Montbello Career and Technical High School,0880,2013,2024,still_open,high,reported in 2024,39.77577,-104.795793,0880,Montbello Career and Technical High School,158.0,39.77577,-104.795793
080336006592,0099,ACADEMY 360;Academy 360,0880,2013,2024,still_open,high,reported in 2024,39.782099,-104.850465,0880,Academy 360,201.0,39.782099,-104.850465
080336006593,9348,WEST CAREER ACADEMY,0880,2013,2017,closed,high,CCD school_status=2,39.731366,-104.994885,0880,WEST CAREER ACADEMY,63.0,39.731366,-104.994885
080336006599,2641,EXCEL ACADEMY;Excel Academy,0880,2013,2024,still_open,high,reported in 2024,39.684325,-105.025952,0880,Excel Academy,227.0,39.684325,-105.025952
080336006603,3991,HIGH TECH ELEMENTARY SCHOOL;Willow Elementary School,0880,2014,2024,still_open,high,reported in 2024,39.789362,-104.889005,0880,Willow Elementary School,596.0,39.789362,-104.889005
080336006609,4049,HIGHLINE ACADEMY NORTHEAST;Highline Academy Northeast,0880,2014,2024,still_open,high,reported in 2024,39.79574,-104.760961,0880,Highline Academy Northeast,589.0,39.79574,-104.760961
080336006618,2218,DSST: CONSERVATORY GREEN MIDDLE SCHOOL;DSST: Conservatory Green Middle School,0880,2014,2024,still_open,high,reported in 2024,39.789362,-104.889005,0880,DSST: Conservatory Green Middle School,468.0,39.789362,-104.889005
080336006624,2227,DENVER DISCOVERY SCHOOL;Denver Discovery School,0880,2014,2023,closed,high,CCD school_status=2,39.764808,-104.898046,0880,Denver Discovery School,93.0,39.764808,-104.898046
080336006626,3540,GIRLS ATHLETIC LEADERSHIP SCHOOL HIGH SCHOOL;Girls Athletic Leadership School High School,0880,2014,2024,still_open,high,reported in 2024,39.72806,-104.995791,0880,Girls Athletic Leadership School High School,59.0,39.72806,-104.995791
080336006627,8401,STRIVE PREP - RUBY HILL;STRIVE Prep - Ruby Hill;Rocky Mountain Prep Ruby Hill,0880,2014,2024,still_open,high,reported in 2024,39.678046,-105.018686,0880,Rocky Mountain Prep Ruby Hill,443.0,39.678046,-105.018686
080336006636,2175,DSST: COLE HIGH SCHOOL;DSST: Cole High School,0880,2014,2024,still_open,high,reported in 2024,39.762606,-104.968967,0880,DSST: Cole High School,287.0,39.762606,-104.968967
080336006640,2241,DENVER SCHOOL OF INNOVATION AND SUSTAINABLE DESIGN;Denver School of Innovation and Sustainable Design,0880,2015,2024,still_open,high,reported in 2024,39.737695,-104.97698,0880,Denver School of Innovation and Sustainable Design,60.0,39.737695,-104.97698
080336006641,7243,REACH CHARTER SCHOOL;Reach Charter School,0880,2015,2022,closed,high,CCD school_status=2,39.731712,-104.952468,0880,Reach Charter School,118.0,39.731712,-104.952468
080336006642,7496,ROOTS ELEMENTARY,0880,2015,2019,closed,high,CCD school_status=2,39.76522,-104.923181,0880,ROOTS ELEMENTARY,182.0,39.76522,-104.923181
080336006645,1939,COMPASS ACADEMY;Compass Academy,0880,2015,2024,still_open,high,reported in 2024,39.67676,-105.02705,0880,Compass Academy,200.0,39.67676,-105.02705
080336006646,7471,ROCKY MOUNTAIN PREP SOUTHWEST;ROCKY MOUNTAIN PREP: SOUTHWEST;Rocky Mountain Prep: Southwest;Rocky Mountain Prep Southwest,0880,2015,2024,still_open,high,reported in 2024,39.699931,-105.028184,0880,Rocky Mountain Prep Southwest,453.0,39.699931,-105.028184
080336006647,7361,RISEUP COMMUNITY SCHOOL;RiseUp Community School,0880,2015,2024,still_open,high,reported in 2024,39.755486,-104.987132,0880,RiseUp Community School,100.0,39.755486,-104.987132
080336006652,4500,KIPP MONTBELLO ELEMENTARY SCHOOL;KIPP MONTBELLO ELEMENTARY;KIPP NORTHEAST ELEMENTARY;KIPP Northeast Elementary,0880,2015,2024,still_open,high,reported in 2024,39.780616,-104.778543,0880,KIPP Northeast Elementary,495.0,39.780616,-104.778543
080336006658,2244,DSST COLLEGE VIEW HIGH SCHOOL;DSST: COLLEGE VIEW HIGH SCHOOL;DSST: College View High School,0880,2015,2024,still_open,high,reported in 2024,39.660483,-105.027072,0880,DSST: College View High School,533.0,39.660483,-105.027072
080336006660,6368,NORTHFIELD HIGH SCHOOL;Northfield High School,0880,2015,2024,still_open,high,reported in 2024,39.797236,-104.883207,0880,Northfield High School,2137.0,39.797236,-104.883207
080336006662,4383,JOE SHOEMAKER SCHOOL;Joe Shoemaker School,0880,2015,2024,still_open,high,reported in 2024,39.65884,-104.867683,0880,Joe Shoemaker School,543.0,39.65884,-104.867683
080336006669,5044,LEGACY OPTIONS HIGH SCHOOL;Legacy Options High School,0880,2015,2024,still_open,high,reported in 2024,39.820612,-104.769006,0880,Legacy Options High School,153.0,39.820612,-104.769006
080336006670,4509,KIPP MONTBELLO COLLEGIATE HIGH SCHOOL;KIPP NORTHEAST DENVER LEADERSHIP ACADEMY;KIPP Northeast Denver Leadership Academy,0880,2015,2024,still_open,high,reported in 2024,39.788033,-104.777516,0880,KIPP Northeast Denver Leadership Academy,555.0,39.788033,-104.777516
080336006682,1077,BEAR VALLEY INTERNATIONAL SCHOOL;Bear Valley International School,0880,2016,2024,still_open,high,reported in 2024,39.66075,-105.058552,0880,Bear Valley International School,313.0,39.66075,-105.058552
080336006683,2116,DSST: HENRY MIDDLE SCHOOL;DSST: Henry Middle School,0880,2016,2021,closed,high,CCD school_status=2,39.660819,-105.058555,0880,DSST: Henry Middle School,166.0,39.660819,-105.058555
080336006684,2228,DSST: BYERS HIGH SCHOOL;DSST: Byers High School;DSST: Cedar High School,0880,2016,2024,still_open,high,reported in 2024,39.71382,-104.979811,0880,DSST: Cedar High School,546.0,39.71382,-104.979811
080336006685,2919,SANDRA TODD-WILLIAMS ACADEMY;Sandra Todd-Williams Academy,0880,2016,2024,still_open,high,reported in 2024,39.787148,-104.765122,0880,Sandra Todd-Williams Academy,143.0,39.787148,-104.765122
080336006686,4513,KEPNER BEACON MIDDLE SCHOOL;Kepner Beacon Middle School,0880,2016,2024,still_open,high,reported in 2024,39.699896,-105.028272,0880,Kepner Beacon Middle School,467.0,39.699896,-105.028272
080336006687,5973,MCAULIFFE MANUAL MIDDLE SCHOOL;McAuliffe Manual Middle School;Manual Middle School,0880,2016,2024,still_open,high,reported in 2024,39.756508,-104.967138,0880,Manual Middle School,257.0,39.756508,-104.967138
